scope,deck,n_nonmirror,K3_average_pct,raw_average_pct,equal_skill_average_pct,ci_low_pct,ci_high_pct,both_p75_average_pct,raw_minus_sim_pp,equal_minus_sim_pp,gap_shrink_fraction,verdict,reason,removed_opponent,K3_6opponent_pct,raw_6opponent_pct,equal_6opponent_pct,raw_6opponent_gap_pp,equal_6opponent_gap_pp,valid_bootstraps
development only,altaria,564,47.028571428571425,53.63321013248674,54.17636761520248,49.77268159876444,58.04856556338662,54.17636761520248,6.604638703915313,7.147796186631055,-0.08223878807992202,bot/engine,at least half the development gap remains on the same side,blaziken,45.15,49.82698044868551,50.37316345352485,4.676980448685512,5.223163453524855,2000
development only,blaziken,209,56.65714285714286,55.92220628475319,55.74888842526949,51.030240770534235,60.510780577291314,55.74888842526949,-0.734936572389671,-0.9082544318733667,-0.23582696248214563,bot/engine,at least half the development gap remains on the same side,altaria,59.15,61.32100537142774,61.20630192702577,2.1710053714277393,2.056301927025771,2000
development only,hydreigon,267,34.74285714285714,42.16869283598607,41.62350473914034,36.43471810602729,47.23388144623784,41.62350473914034,7.425835693128931,6.880647596283197,0.07341774304947157,bot/engine,at least half the development gap remains on the same side,lucario,35.5,38.59074770258981,38.083820271601134,3.090747702589809,2.583820271601134,2000
development only,lucario,659,53.25714285714286,50.398180742826874,50.91148636700454,47.15418552122982,54.30911060807881,50.91148636700454,-2.858962114315986,-2.3456564901383175,0.17954264647556484,bot/engine,at least half the development gap remains on the same side,hydreigon,50.5,52.73727147269196,53.20700268556789,2.2372714726919583,2.7070026855678933,2000
development only,sceptile,424,61.800000000000004,50.40554716674364,50.55373432071108,44.34931061089431,56.002157845168036,50.55373432071108,-11.394452833256366,-11.246265679288925,0.013005201402469746,bot/engine,at least half the development gap remains on the same side,vespiquen,61.083333333333336,52.85409074215329,52.969763099109834,-8.229242591180046,-8.113570234223502,2000
development only,suicune,369,52.58571428571429,47.06650608961534,46.849978961288514,42.26379899705972,51.559043877821665,46.849978961288514,-5.519208196098951,-5.735735324425775,-0.03923155652650823,bot/engine,at least half the development gap remains on the same side,vespiquen,53.68333333333334,50.16555340084752,49.95616201927442,-3.5177799324858157,-3.727171314058914,2000
development only,vespiquen,440,48.642857142857146,56.62849744884665,56.502387050112596,52.32869345552434,60.56686929553734,56.502387050112596,7.985640305989506,7.85952990725545,0.015792146140049534,bot/engine,at least half the development gap remains on the same side,sceptile,51.099999999999994,55.35229464270205,55.26237850018445,4.252294642702054,4.162378500184452,2000
development only,weezing,284,45.285714285714285,43.7771592987415,43.633652521270974,37.7592156269914,50.307239326927295,43.633652521270974,-1.5085549869727828,-1.6520617644433102,-0.09512863548878814,bot/engine,at least half the development gap remains on the same side,vespiquen,47.63333333333333,48.36017422062478,48.210643772343445,0.7268408872914449,0.5773104390101125,2000
