scope,event_id,player,other_events_W,other_events_N,skill
development only,6a789b5ccdc0391d7fa61ba9,2sick,47,99,-0.09180754925312286
development only,6a789b5ccdc0391d7fa61ba9,acad,55,149,-0.5007752879124893
development only,6a789b5ccdc0391d7fa61ba9,adi1906,36,68,0.10265415406008337
development only,6a789b5ccdc0391d7fa61ba9,ahnkns14,3,6,0.0
development only,6a789b5ccdc0391d7fa61ba9,aidentony,19,42,-0.15415067982725836
development only,6a789b5ccdc0391d7fa61ba9,aldous,52,116,-0.19105523676270922
development only,6a789b5ccdc0391d7fa61ba9,ani_p,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,antony,9,23,-0.3053816495511819
development only,6a789b5ccdc0391d7fa61ba9,arcticmonkeys,4,7,0.11778303565638346
development only,6a789b5ccdc0391d7fa61ba9,atomiix,37,51,0.7932306391169279
development only,6a789b5ccdc0391d7fa61ba9,balancedeala,32,67,-0.0779615414697118
development only,6a789b5ccdc0391d7fa61ba9,bigbagmakaveli,8,35,-0.9007865453381898
development only,6a789b5ccdc0391d7fa61ba9,bluejun99,9,22,-0.25131442828090605
development only,6a789b5ccdc0391d7fa61ba9,cheeselixir,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,chiaryarra,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,christia1993n,11,28,-0.3184537311185346
development only,6a789b5ccdc0391d7fa61ba9,corcho5,12,24,0.0
development only,6a789b5ccdc0391d7fa61ba9,cosmooo,54,93,0.29334780998745824
development only,6a789b5ccdc0391d7fa61ba9,crusher179450,1,6,-0.5108256237659907
development only,6a789b5ccdc0391d7fa61ba9,darmigoro,2,6,-0.25131442828090605
development only,6a789b5ccdc0391d7fa61ba9,dashmd,25,72,-0.5500463369192721
development only,6a789b5ccdc0391d7fa61ba9,den670,19,34,0.1823215567939546
development only,6a789b5ccdc0391d7fa61ba9,dhforty4,34,75,-0.16507975035944858
development only,6a789b5ccdc0391d7fa61ba9,disposablehero,11,22,0.0
development only,6a789b5ccdc0391d7fa61ba9,dyja1,11,35,-0.5947071077466928
development only,6a789b5ccdc0391d7fa61ba9,einstun,70,157,-0.20430046351272993
development only,6a789b5ccdc0391d7fa61ba9,elatomico,45,101,-0.19885085874516517
development only,6a789b5ccdc0391d7fa61ba9,elmarcoo,64,134,-0.08338160893905101
development only,6a789b5ccdc0391d7fa61ba9,esteban0708,52,90,0.28185115214098766
development only,6a789b5ccdc0391d7fa61ba9,ev_arima,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,fabiowastaken,8,18,-0.1431008436406733
development only,6a789b5ccdc0391d7fa61ba9,faded7,2,3,0.15415067982725836
development only,6a789b5ccdc0391d7fa61ba9,fan_sylve,11,32,-0.48550781578170077
development only,6a789b5ccdc0391d7fa61ba9,fitypaldis,16,31,0.04879016416943205
development only,6a789b5ccdc0391d7fa61ba9,frappesdrinker,54,98,0.18571714579509285
development only,6a789b5ccdc0391d7fa61ba9,fury64140,10,28,-0.4274440148269396
development only,6a789b5ccdc0391d7fa61ba9,gariva,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,garoth,19,35,0.13353139262452257
development only,6a789b5ccdc0391d7fa61ba9,grotolo,6,12,0.0
development only,6a789b5ccdc0391d7fa61ba9,guunnz,73,128,0.26236426446749106
development only,6a789b5ccdc0391d7fa61ba9,hakitcgp,45,86,0.083381608939051
development only,6a789b5ccdc0391d7fa61ba9,hansuwe,20,34,0.27443684570176036
development only,6a789b5ccdc0391d7fa61ba9,harian,25,42,0.31015492830383945
development only,6a789b5ccdc0391d7fa61ba9,hectordf,25,48,0.06899287148695142
development only,6a789b5ccdc0391d7fa61ba9,iamclrfilms,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,ibfasting,77,144,0.13005312824819776
development only,6a789b5ccdc0391d7fa61ba9,ibi0307ibi,3,25,-1.2163953243244932
development only,6a789b5ccdc0391d7fa61ba9,iplaypokemans,12,26,-0.11122563511022437
development only,6a789b5ccdc0391d7fa61ba9,javiee333,55,104,0.10536051565782635
development only,6a789b5ccdc0391d7fa61ba9,javiercazorla,20,52,-0.39204208777602373
development only,6a789b5ccdc0391d7fa61ba9,johtopack,15,30,0.0
development only,6a789b5ccdc0391d7fa61ba9,jphenomenal,30,50,0.3364722366212129
development only,6a789b5ccdc0391d7fa61ba9,justclark,2,4,0.0
development only,6a789b5ccdc0391d7fa61ba9,kaizenmoon,0,2,-0.3364722366212129
development only,6a789b5ccdc0391d7fa61ba9,knowticetko,15,37,-0.30010459245033816
development only,6a789b5ccdc0391d7fa61ba9,kto206,54,128,-0.29191040856130207
development only,6a789b5ccdc0391d7fa61ba9,kurage,8,18,-0.1431008436406733
development only,6a789b5ccdc0391d7fa61ba9,lanora,82,150,0.17544867750619267
development only,6a789b5ccdc0391d7fa61ba9,lean7,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,lede,1,5,-0.40546510810816444
development only,6a789b5ccdc0391d7fa61ba9,light_dn,16,30,0.10008345855698263
development only,6a789b5ccdc0391d7fa61ba9,mambadaddy9,19,49,-0.37729423114146804
development only,6a789b5ccdc0391d7fa61ba9,marhadi,1,8,-0.6931471805599453
development only,6a789b5ccdc0391d7fa61ba9,metalgearekans,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,meymuus,10,23,-0.1823215567939546
development only,6a789b5ccdc0391d7fa61ba9,mo1245,42,80,0.08894748601649612
development only,6a789b5ccdc0391d7fa61ba9,morizou,18,45,-0.33024168687057687
development only,6a789b5ccdc0391d7fa61ba9,moserk,56,106,0.10354067894084036
development only,6a789b5ccdc0391d7fa61ba9,mrd,28,64,-0.2170645052378275
development only,6a789b5ccdc0391d7fa61ba9,mspinguino,33,79,-0.29423947299793995
development only,6a789b5ccdc0391d7fa61ba9,nandosgude,18,38,-0.08338160893905101
development only,6a789b5ccdc0391d7fa61ba9,narumi,10,32,-0.587786664902119
development only,6a789b5ccdc0391d7fa61ba9,noobslybot_01,4,7,0.11778303565638346
development only,6a789b5ccdc0391d7fa61ba9,normo360,83,181,-0.15739217375142936
development only,6a789b5ccdc0391d7fa61ba9,nouelito,2,13,-0.8266785731844679
development only,6a789b5ccdc0391d7fa61ba9,nunogdm,7,19,-0.3483066942682157
development only,6a789b5ccdc0391d7fa61ba9,nyrq,92,209,-0.22931006622987374
development only,6a789b5ccdc0391d7fa61ba9,osorad,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,outlxw,20,30,0.5108256237659907
development only,6a789b5ccdc0391d7fa61ba9,pattyd,13,31,-0.24512245803298496
development only,6a789b5ccdc0391d7fa61ba9,pikatravai,58,121,-0.07637297878457397
development only,6a789b5ccdc0391d7fa61ba9,pkmn123,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,ppitopin8,18,37,-0.04255961441879589
development only,6a789b5ccdc0391d7fa61ba9,preluxe,63,104,0.3908663086870116
development only,6a789b5ccdc0391d7fa61ba9,rayblu,12,30,-0.3022808718729337
development only,6a789b5ccdc0391d7fa61ba9,razbersky202,53,99,0.12861737782209354
development only,6a789b5ccdc0391d7fa61ba9,redflag,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,russ_ii,29,97,-0.7640989165322298
development only,6a789b5ccdc0391d7fa61ba9,savid400,1,3,-0.15415067982725836
development only,6a789b5ccdc0391d7fa61ba9,sceptile142,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,seiren,7,23,-0.5596157879354228
development only,6a789b5ccdc0391d7fa61ba9,shinra67,65,130,0.0
development only,6a789b5ccdc0391d7fa61ba9,shubham,5,10,0.0
development only,6a789b5ccdc0391d7fa61ba9,sinorci200,57,96,0.3429447511268304
development only,6a789b5ccdc0391d7fa61ba9,soap728,53,110,-0.06669137449867228
development only,6a789b5ccdc0391d7fa61ba9,sparadrap,73,139,0.09402894964827639
development only,6a789b5ccdc0391d7fa61ba9,speedy_paws,24,68,-0.5245244681241525
development only,6a789b5ccdc0391d7fa61ba9,spritzol,10,22,-0.12516314295400605
development only,6a789b5ccdc0391d7fa61ba9,squallrush,4,8,0.0
development only,6a789b5ccdc0391d7fa61ba9,supreme13,81,149,0.16388785510511664
development only,6a789b5ccdc0391d7fa61ba9,thecheezer75616,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,therico01,5,8,0.22314355131420976
development only,6a789b5ccdc0391d7fa61ba9,theviice,31,48,0.49247648509779424
development only,6a789b5ccdc0391d7fa61ba9,thomasxavier21,38,104,-0.5014797613477531
development only,6a789b5ccdc0391d7fa61ba9,tobiasdrei,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,tornado1,7,10,0.4054651081081644
development only,6a789b5ccdc0391d7fa61ba9,tosaze,10,31,-0.5500463369192721
development only,6a789b5ccdc0391d7fa61ba9,ubohzaw,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,vecktamoon,0,0,0.0
development only,6a789b5ccdc0391d7fa61ba9,vegax_1,3,6,0.0
development only,6a789b5ccdc0391d7fa61ba9,ventrixd,56,117,-0.07878087785311434
development only,6a789b5ccdc0391d7fa61ba9,victorssito,96,161,0.36662527479190044
development only,6a789b5ccdc0391d7fa61ba9,wall456,51,126,-0.35667494393873245
development only,6a789b5ccdc0391d7fa61ba9,whitewolf_tv,8,20,-0.2682639865946794
development only,6a789b5ccdc0391d7fa61ba9,whoisfabelaa,43,79,0.15762894420358306
development only,6a789b5ccdc0391d7fa61ba9,wxchan,8,11,0.4855078157817008
development only,6a789b5ccdc0391d7fa61ba9,xdesti,4,8,0.0
development only,6a789b5ccdc0391d7fa61ba9,yunlong,8,11,0.4855078157817008
development only,6a789b5ccdc0391d7fa61ba9,zadakyel,1,8,-0.6931471805599453
development only,6a789b5ccdc0391d7fa61ba9,zozo89,1,4,-0.2876820724517809
development only,6a78c5912b308b6067b4f421,7l,14,36,-0.3513978868378886
development only,6a78c5912b308b6067b4f421,acad,55,148,-0.4906229164484712
development only,6a78c5912b308b6067b4f421,adi1906,42,75,0.21256144198367288
development only,6a78c5912b308b6067b4f421,aidentony,16,37,-0.21357410029805904
development only,6a78c5912b308b6067b4f421,airimima,2,3,0.15415067982725836
development only,6a78c5912b308b6067b4f421,aldous,50,116,-0.25534669180884456
development only,6a78c5912b308b6067b4f421,alexapost7,0,0,0.0
development only,6a78c5912b308b6067b4f421,angrypikachu,32,60,0.11441035117774412
development only,6a78c5912b308b6067b4f421,antony,7,19,-0.3483066942682157
development only,6a78c5912b308b6067b4f421,arse,14,24,0.23638877806423034
development only,6a78c5912b308b6067b4f421,asmitadevirgo,0,0,0.0
development only,6a78c5912b308b6067b4f421,azin,18,65,-0.8157495026522777
development only,6a78c5912b308b6067b4f421,basics_susu,0,0,0.0
development only,6a78c5912b308b6067b4f421,beachboy,26,54,-0.06252035698133393
development only,6a78c5912b308b6067b4f421,bigbagmakaveli,7,34,-0.9808292530117262
development only,6a78c5912b308b6067b4f421,brendon68,66,114,0.29238796348919355
development only,6a78c5912b308b6067b4f421,caruzo,4,7,0.11778303565638346
development only,6a78c5912b308b6067b4f421,christia1993n,13,32,-0.2876820724517809
development only,6a78c5912b308b6067b4f421,chv3173,1,3,-0.15415067982725836
development only,6a78c5912b308b6067b4f421,cosmooo,57,96,0.3429447511268304
development only,6a78c5912b308b6067b4f421,dietdrkelp,92,176,0.08607460877124298
development only,6a78c5912b308b6067b4f421,doctorfun,0,0,0.0
development only,6a78c5912b308b6067b4f421,draxoz,31,76,-0.3285040669720361
development only,6a78c5912b308b6067b4f421,dyja1,13,35,-0.40546510810816444
development only,6a78c5912b308b6067b4f421,einstun,64,149,-0.2657031657330056
development only,6a78c5912b308b6067b4f421,elatomico,43,99,-0.23967285326542034
development only,6a78c5912b308b6067b4f421,esteban0708,54,93,0.29334780998745824
development only,6a78c5912b308b6067b4f421,estehlegitea,48,106,-0.17284281283941083
development only,6a78c5912b308b6067b4f421,fabiowastaken,7,14,0.0
development only,6a78c5912b308b6067b4f421,fedaykin,5,15,-0.40546510810816444
development only,6a78c5912b308b6067b4f421,flavie,0,0,0.0
development only,6a78c5912b308b6067b4f421,flipand11,43,79,0.15762894420358306
development only,6a78c5912b308b6067b4f421,gengars,1,4,-0.2876820724517809
development only,6a78c5912b308b6067b4f421,godi,15,40,-0.40546510810816444
development only,6a78c5912b308b6067b4f421,grotolo,3,7,-0.11778303565638351
development only,6a78c5912b308b6067b4f421,haryanto,6,30,-0.9694005571881036
development only,6a78c5912b308b6067b4f421,hate_hardpeach,26,56,-0.12136085700426748
development only,6a78c5912b308b6067b4f421,hikennoasce,13,24,0.11778303565638346
development only,6a78c5912b308b6067b4f421,https,20,42,-0.07696104113612832
development only,6a78c5912b308b6067b4f421,hunter_316,25,63,-0.36000273403140703
development only,6a78c5912b308b6067b4f421,ibfasting,79,146,0.15415067982725836
development only,6a78c5912b308b6067b4f421,ibrakadabra,32,48,0.5663954749208014
development only,6a78c5912b308b6067b4f421,iduh,25,54,-0.12516314295400605
development only,6a78c5912b308b6067b4f421,iromm,66,147,-0.1916674192121923
development only,6a78c5912b308b6067b4f421,jeremy2408,0,0,0.0
development only,6a78c5912b308b6067b4f421,karasutcgp,33,99,-0.6250937173149297
development only,6a78c5912b308b6067b4f421,karebovippass,0,0,0.0
development only,6a78c5912b308b6067b4f421,keely,0,0,0.0
development only,6a78c5912b308b6067b4f421,keremy,0,0,0.0
development only,6a78c5912b308b6067b4f421,khabibie,0,0,0.0
development only,6a78c5912b308b6067b4f421,knowticetko,12,33,-0.42488319396526597
development only,6a78c5912b308b6067b4f421,kovacs469,45,88,0.0408219945202552
development only,6a78c5912b308b6067b4f421,kraby29,5,8,0.22314355131420976
development only,6a78c5912b308b6067b4f421,kresna19,1,10,-0.8472978603872037
development only,6a78c5912b308b6067b4f421,kto206,56,131,-0.2711527705005704
development only,6a78c5912b308b6067b4f421,kurage,9,23,-0.3053816495511819
development only,6a78c5912b308b6067b4f421,lanora,77,143,0.1440393702229377
development only,6a78c5912b308b6067b4f421,lbn924,23,46,0.0
development only,6a78c5912b308b6067b4f421,ld,19,35,0.13353139262452257
development only,6a78c5912b308b6067b4f421,lennydeski,0,0,0.0
development only,6a78c5912b308b6067b4f421,lostp3nguin18,10,26,-0.3364722366212129
development only,6a78c5912b308b6067b4f421,minato,138,219,0.5084973340063996
development only,6a78c5912b308b6067b4f421,morizou,18,45,-0.33024168687057687
development only,6a78c5912b308b6067b4f421,moserk,53,104,0.03509131981127019
development only,6a78c5912b308b6067b4f421,mrcin0091,13,26,0.0
development only,6a78c5912b308b6067b4f421,muswa,45,87,0.06187540371808745
development only,6a78c5912b308b6067b4f421,nakopol91,87,152,0.27329333499968134
development only,6a78c5912b308b6067b4f421,nifaa,37,76,-0.04652001563489282
development only,6a78c5912b308b6067b4f421,nj_210zz,24,44,0.14842000511827322
development only,6a78c5912b308b6067b4f421,notgio,25,51,-0.03278982282299084
development only,6a78c5912b308b6067b4f421,nouelito,1,13,-1.041453874828161
development only,6a78c5912b308b6067b4f421,oscarparra,35,75,-0.11778303565638351
development only,6a78c5912b308b6067b4f421,pamnardo,0,0,0.0
development only,6a78c5912b308b6067b4f421,pamnardo_s2,9,30,-0.6190392084062235
development only,6a78c5912b308b6067b4f421,pierfigo,85,154,0.19574457712609533
development only,6a78c5912b308b6067b4f421,pikatravai,58,121,-0.07637297878457397
development only,6a78c5912b308b6067b4f421,preluxe,64,103,0.44991687067899816
development only,6a78c5912b308b6067b4f421,r0zey,31,94,-0.6359887667199967
development only,6a78c5912b308b6067b4f421,radarada,32,59,0.1451820098444979
development only,6a78c5912b308b6067b4f421,raizima,0,3,-0.4700036292457356
development only,6a78c5912b308b6067b4f421,ratatouillet27,39,91,-0.258861633916289
development only,6a78c5912b308b6067b4f421,rayblu,13,32,-0.2876820724517809
development only,6a78c5912b308b6067b4f421,reenoi1,0,0,0.0
development only,6a78c5912b308b6067b4f421,rekkatherapy,32,87,-0.4834266495778762
development only,6a78c5912b308b6067b4f421,rikujibra,41,87,-0.10318423623523075
development only,6a78c5912b308b6067b4f421,ritzc,0,0,0.0
development only,6a78c5912b308b6067b4f421,seedax,31,44,0.6931471805599453
development only,6a78c5912b308b6067b4f421,sekinokatsu,8,12,0.36772478012531734
development only,6a78c5912b308b6067b4f421,shaquill10,7,14,0.0
development only,6a78c5912b308b6067b4f421,shinra67,66,131,0.014184634991956381
development only,6a78c5912b308b6067b4f421,shreyasplays,10,16,0.31015492830383945
development only,6a78c5912b308b6067b4f421,sinorci200,56,95,0.32668423025505017
development only,6a78c5912b308b6067b4f421,squirtlex02,0,1,-0.1823215567939546
development only,6a78c5912b308b6067b4f421,super_peace,36,81,-0.19845093872383832
development only,6a78c5912b308b6067b4f421,syova,6,20,-0.5465437063680699
development only,6a78c5912b308b6067b4f421,t2neit,0,0,0.0
development only,6a78c5912b308b6067b4f421,tbenjab,4,6,0.25131442828090617
development only,6a78c5912b308b6067b4f421,teddy108059,2,6,-0.25131442828090605
development only,6a78c5912b308b6067b4f421,theogenes86,7,17,-0.2231435513142097
development only,6a78c5912b308b6067b4f421,thomasxavier21,40,104,-0.4274440148269396
development only,6a78c5912b308b6067b4f421,toddyfox,21,34,0.36772478012531734
development only,6a78c5912b308b6067b4f421,tosaze,11,29,-0.3629054936893685
development only,6a78c5912b308b6067b4f421,varma,25,45,0.1823215567939546
development only,6a78c5912b308b6067b4f421,ventrixd,60,122,-0.030305349495328922
development only,6a78c5912b308b6067b4f421,victorssito,94,157,0.37561214495848316
development only,6a78c5912b308b6067b4f421,wall456,55,132,-0.31237468504215243
development only,6a78c5912b308b6067b4f421,warpis,80,154,0.07320340402329492
development only,6a78c5912b308b6067b4f421,whitewolf_tv,4,14,-0.5108256237659907
development only,6a78c5912b308b6067b4f421,whoisfabelaa,45,81,0.19845093872383823
development only,6a78c5912b308b6067b4f421,winsters,15,32,-0.0953101798043249
development only,6a78c5912b308b6067b4f421,xdesti,1,4,-0.2876820724517809
development only,6a78c5912b308b6067b4f421,xerxes03,17,27,0.3829922522561057
development only,6a78c5912b308b6067b4f421,yt_yoshgaming,0,0,0.0
development only,6a78c5912b308b6067b4f421,yunlong,9,11,0.6931471805599453
development only,6a78c5912b308b6067b4f421,yusriluffy,0,0,0.0
development only,6a78c5912b308b6067b4f421,zonice,20,38,0.083381608939051
development only,6a7e2b83cdc0391d7fa65afb,2811,36,68,0.10265415406008337
development only,6a7e2b83cdc0391d7fa65afb,2sick,47,98,-0.07410797215372185
development only,6a7e2b83cdc0391d7fa65afb,abnermoyai,32,58,0.17693070815907824
development only,6a7e2b83cdc0391d7fa65afb,acad,52,143,-0.5212969236332861
development only,6a7e2b83cdc0391d7fa65afb,alana,64,141,-0.17261274266699378
development only,6a7e2b83cdc0391d7fa65afb,aldous,53,116,-0.1590646946296874
development only,6a7e2b83cdc0391d7fa65afb,angrypikachu,31,59,0.0870113769896297
development only,6a7e2b83cdc0391d7fa65afb,annihilbape,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,antony,9,23,-0.3053816495511819
development only,6a7e2b83cdc0391d7fa65afb,aoisora,33,62,0.1112256351102244
development only,6a7e2b83cdc0391d7fa65afb,arexande,3,7,-0.11778303565638351
development only,6a7e2b83cdc0391d7fa65afb,atomiix,37,51,0.7932306391169279
development only,6a7e2b83cdc0391d7fa65afb,avelino_off,24,58,-0.2962658161431724
development only,6a7e2b83cdc0391d7fa65afb,awbscene,11,36,-0.6286086594223742
development only,6a7e2b83cdc0391d7fa65afb,azin,18,65,-0.8157495026522777
development only,6a7e2b83cdc0391d7fa65afb,azue,1,6,-0.5108256237659907
development only,6a7e2b83cdc0391d7fa65afb,balancedeala,26,61,-0.25489224962879004
development only,6a7e2b83cdc0391d7fa65afb,bald_hoang,3,6,0.0
development only,6a7e2b83cdc0391d7fa65afb,bankai360,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,barba28,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,bbchillen,27,43,0.4212134650763035
development only,6a7e2b83cdc0391d7fa65afb,bborsx,10,18,0.14310084364067324
development only,6a7e2b83cdc0391d7fa65afb,beasttcg,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,bestiari,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,bigmanblastoise69,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,bluejun99,5,15,-0.40546510810816444
development only,6a7e2b83cdc0391d7fa65afb,bmintonno05,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,boat_sensei,31,55,0.216223108469636
development only,6a7e2b83cdc0391d7fa65afb,breaking2mirror,17,47,-0.46430560813109784
development only,6a7e2b83cdc0391d7fa65afb,bredle,2,18,-1.0986122886681098
development only,6a7e2b83cdc0391d7fa65afb,brendon68,64,112,0.2638145910451375
development only,6a7e2b83cdc0391d7fa65afb,byzer09,10,35,-0.6931471805599453
development only,6a7e2b83cdc0391d7fa65afb,cabezon777,25,41,0.3566749439387324
development only,6a7e2b83cdc0391d7fa65afb,castro37,34,60,0.22957444164450017
development only,6a7e2b83cdc0391d7fa65afb,cavvyr,5,9,0.10536051565782635
development only,6a7e2b83cdc0391d7fa65afb,cel3genk,11,33,-0.5232481437645479
development only,6a7e2b83cdc0391d7fa65afb,chicco96,3,9,-0.3184537311185346
development only,6a7e2b83cdc0391d7fa65afb,chuckie,28,72,-0.3953127366441464
development only,6a7e2b83cdc0391d7fa65afb,clou6,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,cn123gaming,10,17,0.22314355131420976
development only,6a7e2b83cdc0391d7fa65afb,cosmooo,56,95,0.32668423025505017
development only,6a7e2b83cdc0391d7fa65afb,crimson_ruby,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,cuice,5,15,-0.40546510810816444
development only,6a7e2b83cdc0391d7fa65afb,cyphule,3,7,-0.11778303565638351
development only,6a7e2b83cdc0391d7fa65afb,danimaton,8,20,-0.2682639865946794
development only,6a7e2b83cdc0391d7fa65afb,danny_danny25,37,66,0.21130909366720696
development only,6a7e2b83cdc0391d7fa65afb,dashmd,26,75,-0.5549968420791281
development only,6a7e2b83cdc0391d7fa65afb,deister,8,19,-0.2076393647782445
development only,6a7e2b83cdc0391d7fa65afb,dhforty4,32,73,-0.21772348384487053
development only,6a7e2b83cdc0391d7fa65afb,dietdrkelp,86,169,0.033522692038643644
development only,6a7e2b83cdc0391d7fa65afb,digimonstre,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,douka,15,29,0.05129329438755048
development only,6a7e2b83cdc0391d7fa65afb,dunkelkaiser,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,dyja1,8,33,-0.8362480242006186
development only,6a7e2b83cdc0391d7fa65afb,eeveeon,24,61,-0.37037378829689427
development only,6a7e2b83cdc0391d7fa65afb,einstun,70,152,-0.14842000511827333
development only,6a7e2b83cdc0391d7fa65afb,eku,11,13,0.8266785731844679
development only,6a7e2b83cdc0391d7fa65afb,elatomico,44,102,-0.25131442828090605
development only,6a7e2b83cdc0391d7fa65afb,elite4aj,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,elluquitas96,78,144,0.1561607307552825
development only,6a7e2b83cdc0391d7fa65afb,elmarcoo,62,131,-0.09937247381320373
development only,6a7e2b83cdc0391d7fa65afb,esdeath,15,22,0.5108256237659907
development only,6a7e2b83cdc0391d7fa65afb,estehlegitea,50,105,-0.08701137698962981
development only,6a7e2b83cdc0391d7fa65afb,fall88,24,52,-0.12921173148000623
development only,6a7e2b83cdc0391d7fa65afb,feherlac,8,20,-0.2682639865946794
development only,6a7e2b83cdc0391d7fa65afb,ferretpaws,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,fitypaldis,17,33,0.04652001563489291
development only,6a7e2b83cdc0391d7fa65afb,flameking3,49,92,0.11778303565638346
development only,6a7e2b83cdc0391d7fa65afb,flipinton,45,143,-0.7227059828014897
development only,6a7e2b83cdc0391d7fa65afb,fokker111,16,41,-0.35667494393873245
development only,6a7e2b83cdc0391d7fa65afb,frogger,3,7,-0.11778303565638351
development only,6a7e2b83cdc0391d7fa65afb,fury64140,8,24,-0.4795730802618862
development only,6a7e2b83cdc0391d7fa65afb,garoth,23,39,0.28768207245178085
development only,6a7e2b83cdc0391d7fa65afb,genessiss,3,7,-0.11778303565638351
development only,6a7e2b83cdc0391d7fa65afb,gengars,3,7,-0.11778303565638351
development only,6a7e2b83cdc0391d7fa65afb,gin1234,2,5,-0.13353139262452263
development only,6a7e2b83cdc0391d7fa65afb,goku6767,23,55,-0.2787134024690205
development only,6a7e2b83cdc0391d7fa65afb,golfermt,33,57,0.2702903297399117
development only,6a7e2b83cdc0391d7fa65afb,gosulek,1,4,-0.2876820724517809
development only,6a7e2b83cdc0391d7fa65afb,griffsama,16,31,0.04879016416943205
development only,6a7e2b83cdc0391d7fa65afb,grizzlymagnum,9,15,0.24116205681688804
development only,6a7e2b83cdc0391d7fa65afb,guiz3r,18,34,0.09097177820572679
development only,6a7e2b83cdc0391d7fa65afb,guunnz,72,127,0.24946085963158324
development only,6a7e2b83cdc0391d7fa65afb,hakitcgp,45,86,0.083381608939051
development only,6a7e2b83cdc0391d7fa65afb,hanzee,24,46,0.07145896398214505
development only,6a7e2b83cdc0391d7fa65afb,harian,25,42,0.31015492830383945
development only,6a7e2b83cdc0391d7fa65afb,hate_hardpeach,28,57,-0.02985296314968116
development only,6a7e2b83cdc0391d7fa65afb,hectordf,22,45,-0.03636764417087483
development only,6a7e2b83cdc0391d7fa65afb,heyarnoulde,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,highlight,5,10,0.0
development only,6a7e2b83cdc0391d7fa65afb,hikennoasce,15,24,0.3566749439387324
development only,6a7e2b83cdc0391d7fa65afb,https,23,46,0.0
development only,6a7e2b83cdc0391d7fa65afb,hunter_316,30,70,-0.25131442828090605
development only,6a7e2b83cdc0391d7fa65afb,ibfasting,77,144,0.13005312824819776
development only,6a7e2b83cdc0391d7fa65afb,iono_ce,4,14,-0.5108256237659907
development only,6a7e2b83cdc0391d7fa65afb,isanpum,43,71,0.3746934494414107
development only,6a7e2b83cdc0391d7fa65afb,isez,19,33,0.2336148511815051
development only,6a7e2b83cdc0391d7fa65afb,ishaan,15,35,-0.2231435513142097
development only,6a7e2b83cdc0391d7fa65afb,itachi1820,10,32,-0.587786664902119
development only,6a7e2b83cdc0391d7fa65afb,javiee333,57,106,0.13815033848081718
development only,6a7e2b83cdc0391d7fa65afb,javiercazorla,25,59,-0.262364264467491
development only,6a7e2b83cdc0391d7fa65afb,jenamica,12,30,-0.3022808718729337
development only,6a7e2b83cdc0391d7fa65afb,johtopack,13,32,-0.2876820724517809
development only,6a7e2b83cdc0391d7fa65afb,joshuasutherland21,79,149,0.11332868530700327
development only,6a7e2b83cdc0391d7fa65afb,kaykaycuppy,13,29,-0.15415067982725836
development only,6a7e2b83cdc0391d7fa65afb,kayoby,1,4,-0.2876820724517809
development only,6a7e2b83cdc0391d7fa65afb,khaeruibnum,7,17,-0.2231435513142097
development only,6a7e2b83cdc0391d7fa65afb,koehearts,37,72,0.04879016416943205
development only,6a7e2b83cdc0391d7fa65afb,kovacs469,46,88,0.0816780310142671
development only,6a7e2b83cdc0391d7fa65afb,kto206,56,126,-0.20661424936299916
development only,6a7e2b83cdc0391d7fa65afb,kyoffie,3,11,-0.48550781578170077
development only,6a7e2b83cdc0391d7fa65afb,laquita,4,7,0.11778303565638346
development only,6a7e2b83cdc0391d7fa65afb,lbn924,23,44,0.07410797215372183
development only,6a7e2b83cdc0391d7fa65afb,legendoery,41,61,0.6097655716208943
development only,6a7e2b83cdc0391d7fa65afb,limoncellau,0,0,0.0
development only,6a7e2b83cdc0391d7fa65afb,lionking,11,22,0.0
