decks/brews/brew-08-entei-rainbow-cave.txt: choice [0.0, 0.0] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.0
decks/brews/brew-09-sableye-obstagoon.txt: choice [0.1764, 0.1765] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.31
decks/brews/brew-10-diancie-giratina.txt: choice [0.4128, 0.4131] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.49
rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt: choice [0.1774, 0.1765] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.79
rl/results/b2e_card_check_2026-09-26/decks/h-garchomp.txt: choice [0.3685, 0.3661] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.98
rl/results/b2e_card_check_2026-09-26/decks/h-hoopa_absol.txt: choice [0.2129, 0.2126] changes {'A': [0.0, 0.0], 'B': [0.0345, 0.0361], 'AB': [0.0345, 0.0361]} worst |z| 0.95
rl/results/b2e_card_check_2026-09-26/decks/h-manectric.txt: choice [0.0971, 0.0965] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.21
rl/results/b2e_card_check_2026-09-26/decks/h-raticate.txt: choice [0.1781, 0.1765] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.43
rl/results/b2e_card_check_2026-09-26/decks/h-whimsicott.txt: choice [0.3062, 0.3074] changes {'A': [0.0, 0.0], 'B': [0.0, 0.0], 'AB': [0.0, 0.0]} worst |z| 0.59
flag disagreements (listed Basics): 2
    {'list': 'decks/research/sceptile.txt', 'basic': 'Caterpie B3b 001', 'variant': 'RandomEvolutionFromDeck', 'diffs': ['scope census=self text=board']}
    {'list': 'decks/dustin/15-jolteon-oricorio-raticate.txt', 'basic': 'Oricorio A3 066', 'variant': 'PreventAllDamageFromEx', 'diffs': ['scope census=self text=board', 'switch census A=False B=False text A=False B=True']}
map entries where text phrases and the variant table differ: 1 of 156
    {'line': 567, 'variant': 'CanEvolveIntoEeveeEvolution', 'census_pos': 'anywhere', 'text_pos': 'anywhere', 'census_first': False, 'text_first': True, 'text': "This Pokémon can evolve into any Pokémon that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can't evolve"}
