dataset,cell_set,a,a_deck_name,b,b_deck_name,W,L,T,DL,n,score_pct,band95_pts
pooled,frozen28,blaziken,Mega Blaziken ex,hydreigon,Hydreigon Mega Absol ex,33,22,6,,61,59.02,12.34
development,frozen28,blaziken,Mega Blaziken ex,lucario,Mega Lucario ex Lucario,24,35,0,,59,40.68,12.53
holdout,frozen28,blaziken,Mega Blaziken ex,lucario,Mega Lucario ex Lucario,39,43,3,,85,47.65,10.62
pooled,frozen28,blaziken,Mega Blaziken ex,lucario,Mega Lucario ex Lucario,63,78,3,,144,44.79,8.12
development,frozen28,blaziken,Mega Blaziken ex,sceptile,Butterfree Mega Sceptile ex,17,5,1,,23,76.09,17.43
holdout,frozen28,blaziken,Mega Blaziken ex,sceptile,Butterfree Mega Sceptile ex,37,5,2,,44,86.36,10.14
pooled,frozen28,blaziken,Mega Blaziken ex,sceptile,Butterfree Mega Sceptile ex,54,10,3,,67,82.84,9.03
development,frozen28,blaziken,Mega Blaziken ex,suicune,Suicune ex Baxcalibur,13,7,1,,21,64.29,20.49
holdout,frozen28,blaziken,Mega Blaziken ex,suicune,Suicune ex Baxcalibur,22,15,2,,39,58.97,15.44
pooled,frozen28,blaziken,Mega Blaziken ex,suicune,Suicune ex Baxcalibur,35,22,3,,60,60.83,12.35
development,frozen28,blaziken,Mega Blaziken ex,vespiquen,Vespiquen ex Shuckle ex,24,6,1,,31,79.03,14.33
holdout,frozen28,blaziken,Mega Blaziken ex,vespiquen,Vespiquen ex Shuckle ex,32,11,1,,44,73.86,12.98
pooled,frozen28,blaziken,Mega Blaziken ex,vespiquen,Vespiquen ex Shuckle ex,56,17,2,,75,76.00,9.67
development,frozen28,blaziken,Mega Blaziken ex,weezing,Team Rocket's Weezing ex Hoopa ex,6,9,2,,17,41.18,23.40
holdout,frozen28,blaziken,Mega Blaziken ex,weezing,Team Rocket's Weezing ex Hoopa ex,16,14,1,,31,53.23,17.56
pooled,frozen28,blaziken,Mega Blaziken ex,weezing,Team Rocket's Weezing ex Hoopa ex,22,23,3,,48,48.96,14.14
development,frozen28,hydreigon,Hydreigon Mega Absol ex,lucario,Mega Lucario ex Lucario,34,19,2,,55,63.64,12.71
holdout,frozen28,hydreigon,Hydreigon Mega Absol ex,lucario,Mega Lucario ex Lucario,49,49,4,,102,50.00,9.70
pooled,frozen28,hydreigon,Hydreigon Mega Absol ex,lucario,Mega Lucario ex Lucario,83,68,6,,157,54.78,7.79
development,frozen28,hydreigon,Hydreigon Mega Absol ex,sceptile,Butterfree Mega Sceptile ex,12,19,4,,35,40.00,16.23
holdout,frozen28,hydreigon,Hydreigon Mega Absol ex,sceptile,Butterfree Mega Sceptile ex,19,28,0,,47,40.43,14.03
pooled,frozen28,hydreigon,Hydreigon Mega Absol ex,sceptile,Butterfree Mega Sceptile ex,31,47,4,,82,40.24,10.61
development,frozen28,hydreigon,Hydreigon Mega Absol ex,suicune,Suicune ex Baxcalibur,10,24,1,,35,30.00,15.18
holdout,frozen28,hydreigon,Hydreigon Mega Absol ex,suicune,Suicune ex Baxcalibur,11,20,2,,33,36.36,16.41
pooled,frozen28,hydreigon,Hydreigon Mega Absol ex,suicune,Suicune ex Baxcalibur,21,44,3,,68,33.09,11.18
development,frozen28,hydreigon,Hydreigon Mega Absol ex,vespiquen,Vespiquen ex Shuckle ex,13,23,2,,38,36.84,15.34
holdout,frozen28,hydreigon,Hydreigon Mega Absol ex,vespiquen,Vespiquen ex Shuckle ex,23,35,1,,59,39.83,12.49
pooled,frozen28,hydreigon,Hydreigon Mega Absol ex,vespiquen,Vespiquen ex Shuckle ex,36,58,3,,97,38.66,9.69
development,frozen28,hydreigon,Hydreigon Mega Absol ex,weezing,Team Rocket's Weezing ex Hoopa ex,11,13,0,,24,45.83,19.93
holdout,frozen28,hydreigon,Hydreigon Mega Absol ex,weezing,Team Rocket's Weezing ex Hoopa ex,12,13,2,,27,48.15,18.85
pooled,frozen28,hydreigon,Hydreigon Mega Absol ex,weezing,Team Rocket's Weezing ex Hoopa ex,23,26,2,,51,47.06,13.70
development,frozen28,lucario,Mega Lucario ex Lucario,sceptile,Butterfree Mega Sceptile ex,44,68,2,,114,39.47,8.97
holdout,frozen28,lucario,Mega Lucario ex Lucario,sceptile,Butterfree Mega Sceptile ex,42,78,3,,123,35.37,8.45
pooled,frozen28,lucario,Mega Lucario ex Lucario,sceptile,Butterfree Mega Sceptile ex,86,146,5,,237,37.34,6.16
development,frozen28,lucario,Mega Lucario ex Lucario,suicune,Suicune ex Baxcalibur,49,34,2,,85,58.82,10.46
holdout,frozen28,lucario,Mega Lucario ex Lucario,suicune,Suicune ex Baxcalibur,51,39,1,,91,56.59,10.18
pooled,frozen28,lucario,Mega Lucario ex Lucario,suicune,Suicune ex Baxcalibur,100,73,3,,176,57.67,7.30
development,frozen28,lucario,Mega Lucario ex Lucario,vespiquen,Vespiquen ex Shuckle ex,73,31,3,,107,69.63,8.71
holdout,frozen28,lucario,Mega Lucario ex Lucario,vespiquen,Vespiquen ex Shuckle ex,68,27,4,,99,70.71,8.97
pooled,frozen28,lucario,Mega Lucario ex Lucario,vespiquen,Vespiquen ex Shuckle ex,141,58,7,,206,70.15,6.25
development,frozen28,lucario,Mega Lucario ex Lucario,weezing,Team Rocket's Weezing ex Hoopa ex,46,28,4,,78,61.54,10.80
holdout,frozen28,lucario,Mega Lucario ex Lucario,weezing,Team Rocket's Weezing ex Hoopa ex,28,28,2,,58,50.00,12.87
pooled,frozen28,lucario,Mega Lucario ex Lucario,weezing,Team Rocket's Weezing ex Hoopa ex,74,56,6,,136,56.62,8.33
development,frozen28,sceptile,Butterfree Mega Sceptile ex,suicune,Suicune ex Baxcalibur,25,25,2,,52,50.00,13.59
holdout,frozen28,sceptile,Butterfree Mega Sceptile ex,suicune,Suicune ex Baxcalibur,24,30,2,,56,44.64,13.02
pooled,frozen28,sceptile,Butterfree Mega Sceptile ex,suicune,Suicune ex Baxcalibur,49,55,4,,108,47.22,9.42
development,frozen28,sceptile,Butterfree Mega Sceptile ex,vespiquen,Vespiquen ex Shuckle ex,19,35,2,,56,35.71,12.55
holdout,frozen28,sceptile,Butterfree Mega Sceptile ex,vespiquen,Vespiquen ex Shuckle ex,26,55,2,,83,32.53,10.08
pooled,frozen28,sceptile,Butterfree Mega Sceptile ex,vespiquen,Vespiquen ex Shuckle ex,45,90,4,,139,33.81,7.86
development,frozen28,sceptile,Butterfree Mega Sceptile ex,weezing,Team Rocket's Weezing ex Hoopa ex,24,11,1,,36,68.06,15.23
holdout,frozen28,sceptile,Butterfree Mega Sceptile ex,weezing,Team Rocket's Weezing ex Hoopa ex,27,14,3,,44,64.77,14.11
pooled,frozen28,sceptile,Butterfree Mega Sceptile ex,weezing,Team Rocket's Weezing ex Hoopa ex,51,25,4,,80,66.25,10.36
development,frozen28,suicune,Suicune ex Baxcalibur,vespiquen,Vespiquen ex Shuckle ex,20,51,1,,72,28.47,10.42
holdout,frozen28,suicune,Suicune ex Baxcalibur,vespiquen,Vespiquen ex Shuckle ex,15,41,2,,58,27.59,11.50
pooled,frozen28,suicune,Suicune ex Baxcalibur,vespiquen,Vespiquen ex Shuckle ex,35,92,3,,130,28.08,7.72
development,frozen28,suicune,Suicune ex Baxcalibur,weezing,Team Rocket's Weezing ex Hoopa ex,23,15,1,,39,60.26,15.36
holdout,frozen28,suicune,Suicune ex Baxcalibur,weezing,Team Rocket's Weezing ex Hoopa ex,27,12,3,,42,67.86,14.12
pooled,frozen28,suicune,Suicune ex Baxcalibur,weezing,Team Rocket's Weezing ex Hoopa ex,50,27,4,,81,64.20,10.44
development,frozen28,vespiquen,Vespiquen ex Shuckle ex,weezing,Team Rocket's Weezing ex Hoopa ex,35,6,2,,43,83.72,11.03
holdout,frozen28,vespiquen,Vespiquen ex Shuckle ex,weezing,Team Rocket's Weezing ex Hoopa ex,35,7,0,,42,83.33,11.27
pooled,frozen28,vespiquen,Vespiquen ex Shuckle ex,weezing,Team Rocket's Weezing ex Hoopa ex,70,13,2,,85,83.53,7.89
