dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts,n_incl_dl,score_incl_dl_pct
pooled,whimsicott_ariados,Whimsicott ex Ariados,vespiquen,Vespiquen ex Shuckle ex,5,6,0,0,11,45.5,29.4,16.0,74.9,3,5,0,0,8,37.5,33.5,11,45.5
pooled,whimsicott_ariados,Whimsicott ex Ariados,suicune,Suicune ex Baxcalibur,5,4,0,1,9,55.6,32.5,23.1,88.0,4,3,0,0,7,57.1,36.7,10,55.0
pooled,whimsicott_ariados,Whimsicott ex Ariados,hydreigon,Hydreigon Mega Absol ex,3,3,0,0,6,50.0,40.0,10.0,90.0,2,2,0,0,4,50.0,49.0,6,50.0
pooled,whimsicott_ariados,Whimsicott ex Ariados,weezing,Team Rocket's Weezing ex Hoopa ex,2,6,0,0,8,25.0,30.0,0.0,55.0,0,4,0,0,4,0.0,0.0,8,25.0
pooled,whimsicott_ariados,Whimsicott ex Ariados,blaziken,Mega Blaziken ex,0,1,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,,,1,0.0
pooled,whimsicott_ariados,Whimsicott ex Ariados,panel_equal_weight,8 of 8 opponents with n>0,23,37,0,5,60,32.3,,,,13,25,0,4,38,,,65,
pooled,whimsicott_ariados,Whimsicott ex Ariados,panel_pooled,all panel matches pooled (match-weighted),23,37,0,5,60,38.3,12.3,26.0,50.6,13,25,0,4,38,34.2,15.1,65,39.2
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,lucario,Mega Lucario ex Lucario,60,29,4,0,93,66.7,9.6,57.1,76.2,44,22,2,0,68,66.2,11.2,93,66.7
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,altaria,Mega Altaria ex Espeon,41,60,2,2,103,40.8,9.5,31.3,50.3,28,34,2,2,64,45.3,12.2,105,41.0
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,sceptile,Butterfree Mega Sceptile ex,45,16,1,2,62,73.4,11.0,62.4,84.4,31,12,1,2,44,71.6,13.3,64,72.7
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,vespiquen,Vespiquen ex Shuckle ex,34,20,2,1,56,62.5,12.7,49.8,75.2,26,12,2,1,40,67.5,14.5,57,62.3
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,suicune,Suicune ex Baxcalibur,5,27,1,0,33,16.7,12.7,4.0,29.4,5,18,1,0,24,22.9,16.8,33,16.7
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,hydreigon,Hydreigon Mega Absol ex,19,21,3,1,43,47.7,14.9,32.7,62.6,12,15,2,1,29,44.8,18.1,44,47.7
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,weezing,Team Rocket's Weezing ex Hoopa ex,13,11,3,0,27,53.7,18.8,34.9,72.5,12,8,2,0,22,59.1,20.5,27,53.7
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,blaziken,Mega Blaziken ex,9,19,0,0,28,32.1,17.3,14.8,49.4,6,14,0,0,20,30.0,20.1,28,32.1
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,panel_equal_weight,8 of 8 opponents with n>0,226,203,16,6,445,49.2,,,,164,135,12,6,311,,,451,
pooled,charizardy_entei,Mega Charizard Y ex Entei ex,panel_pooled,all panel matches pooled (match-weighted),226,203,16,6,445,52.6,4.6,47.9,57.2,164,135,12,6,311,54.7,5.5,451,52.5
