dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts,n_incl_dl,score_incl_dl_pct
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,suicune,Suicune ex Baxcalibur,10,5,4,0,19,63.2,21.7,41.5,84.8,4,2,1,0,7,64.3,35.5,19,63.2
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,hydreigon,Hydreigon Mega Absol ex,16,15,0,0,31,51.6,17.6,34.0,69.2,9,10,0,0,19,47.4,22.5,31,51.6
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,weezing,Team Rocket's Weezing ex Hoopa ex,3,5,0,0,8,37.5,33.5,4.0,71.0,2,4,0,0,6,33.3,37.7,8,37.5
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,blaziken,Mega Blaziken ex,12,9,1,0,22,56.8,20.7,36.1,77.5,5,5,1,0,11,50.0,29.5,22,56.8
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,panel_equal_weight,8 of 8 opponents with n>0,130,131,13,7,274,50.3,,,,64,78,4,5,146,,,281,
holdout,manectric_heliolisk,Mega Manectric ex Heliolisk,panel_pooled,all panel matches pooled (match-weighted),130,131,13,7,274,49.8,5.9,43.9,55.7,64,78,4,5,146,45.2,8.1,281,49.8
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,lucario,Mega Lucario ex Lucario,10,19,0,0,29,34.5,17.3,17.2,51.8,7,15,0,0,22,31.8,19.5,29,34.5
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,altaria,Mega Altaria ex Espeon,2,20,0,0,22,9.1,12.0,0.0,21.1,1,14,0,0,15,6.7,12.6,22,9.1
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,sceptile,Butterfree Mega Sceptile ex,1,12,0,1,13,7.7,14.5,0.0,22.2,1,12,0,1,13,7.7,14.5,14,10.7
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,vespiquen,Vespiquen ex Shuckle ex,13,13,1,1,27,50.0,18.9,31.1,68.9,8,9,1,1,18,47.2,23.1,28,50.0
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,suicune,Suicune ex Baxcalibur,8,6,1,2,15,56.7,25.1,31.6,81.7,7,3,1,1,11,68.2,27.5,17,55.9
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,hydreigon,Hydreigon Mega Absol ex,6,5,0,2,11,54.5,29.4,25.1,84.0,5,3,0,0,8,62.5,33.5,13,53.8
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,weezing,Team Rocket's Weezing ex Hoopa ex,6,11,0,1,17,35.3,22.7,12.6,58.0,4,7,0,1,11,36.4,28.4,18,36.1
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,blaziken,Mega Blaziken ex,5,5,0,0,10,50.0,31.0,19.0,81.0,4,4,0,0,8,50.0,34.6,10,50.0
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,panel_equal_weight,8 of 8 opponents with n>0,51,91,2,7,144,37.2,,,,37,67,2,4,106,,,151,
holdout,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,panel_pooled,all panel matches pooled (match-weighted),51,91,2,7,144,36.1,7.8,28.3,44.0,37,67,2,4,106,35.8,9.1,151,36.8
holdout,hoopa_absol,Hoopa ex Mega Absol ex,lucario,Mega Lucario ex Lucario,12,23,0,1,35,34.3,15.7,18.6,50.0,5,12,0,0,17,29.4,21.7,36,34.7
holdout,hoopa_absol,Hoopa ex Mega Absol ex,altaria,Mega Altaria ex Espeon,41,14,4,0,59,72.9,11.3,61.5,84.2,11,8,4,0,23,56.5,20.3,59,72.9
holdout,hoopa_absol,Hoopa ex Mega Absol ex,sceptile,Butterfree Mega Sceptile ex,6,23,1,1,30,21.7,14.7,6.9,36.4,4,12,1,1,17,26.5,21.0,31,22.6
holdout,hoopa_absol,Hoopa ex Mega Absol ex,vespiquen,Vespiquen ex Shuckle ex,7,18,0,1,25,28.0,17.6,10.4,45.6,2,10,0,0,12,16.7,21.1,26,28.8
holdout,hoopa_absol,Hoopa ex Mega Absol ex,suicune,Suicune ex Baxcalibur,11,10,0,0,21,52.4,21.4,31.0,73.7,5,6,0,0,11,45.5,29.4,21,52.4
holdout,hoopa_absol,Hoopa ex Mega Absol ex,hydreigon,Hydreigon Mega Absol ex,15,6,1,0,22,70.5,19.1,51.4,89.5,5,4,1,0,10,55.0,30.8,22,70.5
holdout,hoopa_absol,Hoopa ex Mega Absol ex,weezing,Team Rocket's Weezing ex Hoopa ex,6,8,0,0,14,42.9,25.9,16.9,68.8,4,7,0,0,11,36.4,28.4,14,42.9
holdout,hoopa_absol,Hoopa ex Mega Absol ex,blaziken,Mega Blaziken ex,7,5,0,0,12,58.3,27.9,30.4,86.2,3,4,0,0,7,42.9,36.7,12,58.3
holdout,hoopa_absol,Hoopa ex Mega Absol ex,panel_equal_weight,8 of 8 opponents with n>0,105,107,6,3,218,47.6,,,,39,63,6,1,108,,,221,
holdout,hoopa_absol,Hoopa ex Mega Absol ex,panel_pooled,all panel matches pooled (match-weighted),105,107,6,3,218,49.5,6.6,42.9,56.2,39,63,6,1,108,38.9,9.2,221,49.5
holdout,garchomp,Garchomp,lucario,Mega Lucario ex Lucario,4,9,2,0,15,33.3,23.9,9.5,57.2,3,8,2,0,13,30.8,25.1,15,33.3
holdout,garchomp,Garchomp,altaria,Mega Altaria ex Espeon,5,2,0,0,7,71.4,33.5,38.0,100.0,4,2,0,0,6,66.7,37.7,7,71.4
holdout,garchomp,Garchomp,sceptile,Butterfree Mega Sceptile ex,2,7,0,0,9,22.2,27.2,0.0,49.4,2,5,0,0,7,28.6,33.5,9,22.2
holdout,garchomp,Garchomp,vespiquen,Vespiquen ex Shuckle ex,6,7,0,1,13,46.2,27.1,19.1,73.3,5,6,0,1,11,45.5,29.4,14,46.4
holdout,garchomp,Garchomp,suicune,Suicune ex Baxcalibur,5,7,0,0,12,41.7,27.9,13.8,69.6,4,4,0,0,8,50.0,34.6,12,41.7
holdout,garchomp,Garchomp,hydreigon,Hydreigon Mega Absol ex,2,5,0,0,7,28.6,33.5,0.0,62.0,1,3,0,0,4,25.0,42.4,7,28.6
holdout,garchomp,Garchomp,weezing,Team Rocket's Weezing ex Hoopa ex,1,4,0,0,5,20.0,35.1,0.0,55.1,1,3,0,0,4,25.0,42.4,5,20.0
holdout,garchomp,Garchomp,blaziken,Mega Blaziken ex,0,8,0,0,8,0.0,0.0,0.0,0.0,0,7,0,0,7,0.0,0.0,8,0.0
holdout,garchomp,Garchomp,panel_equal_weight,8 of 8 opponents with n>0,25,49,2,1,76,32.9,,,,20,38,2,1,60,,,77,
holdout,garchomp,Garchomp,panel_pooled,all panel matches pooled (match-weighted),25,49,2,1,76,34.2,10.7,23.5,44.9,20,38,2,1,60,35.0,12.1,77,34.4
holdout,whimsicott_ariados,Whimsicott ex Ariados,lucario,Mega Lucario ex Lucario,1,7,0,1,8,12.5,22.9,0.0,35.4,1,5,0,1,6,16.7,29.8,9,16.7
holdout,whimsicott_ariados,Whimsicott ex Ariados,altaria,Mega Altaria ex Espeon,0,3,0,0,3,0.0,0.0,0.0,0.0,0,3,0,0,3,0.0,0.0,3,0.0
holdout,whimsicott_ariados,Whimsicott ex Ariados,sceptile,Butterfree Mega Sceptile ex,1,2,0,1,3,33.3,53.3,0.0,86.7,1,2,0,1,3,33.3,53.3,4,37.5
holdout,whimsicott_ariados,Whimsicott ex Ariados,vespiquen,Vespiquen ex Shuckle ex,2,2,0,0,4,50.0,49.0,1.0,99.0,2,2,0,0,4,50.0,49.0,4,50.0
holdout,whimsicott_ariados,Whimsicott ex Ariados,suicune,Suicune ex Baxcalibur,2,1,0,1,3,66.7,53.3,13.3,100.0,2,1,0,0,3,66.7,53.3,4,62.5
holdout,whimsicott_ariados,Whimsicott ex Ariados,hydreigon,Hydreigon Mega Absol ex,1,0,0,0,1,100.0,0.0,100.0,100.0,0,0,0,0,0,,,1,100.0
holdout,whimsicott_ariados,Whimsicott ex Ariados,weezing,Team Rocket's Weezing ex Hoopa ex,1,2,0,0,3,33.3,53.3,0.0,86.7,0,1,0,0,1,0.0,0.0,3,33.3
holdout,whimsicott_ariados,Whimsicott ex Ariados,blaziken,Mega Blaziken ex,0,1,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,,,1,0.0
holdout,whimsicott_ariados,Whimsicott ex Ariados,panel_equal_weight,8 of 8 opponents with n>0,8,18,0,3,26,37.0,,,,6,14,0,2,20,,,29,
holdout,whimsicott_ariados,Whimsicott ex Ariados,panel_pooled,all panel matches pooled (match-weighted),8,18,0,3,26,30.8,17.7,13.0,48.5,6,14,0,2,20,30.0,20.1,29,32.8
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,lucario,Mega Lucario ex Lucario,26,16,4,0,46,60.9,14.1,46.8,75.0,15,10,2,0,27,59.3,18.5,46,60.9
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,altaria,Mega Altaria ex Espeon,20,28,1,2,49,41.8,13.8,28.0,55.6,12,13,1,2,26,48.1,19.2,51,42.2
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,sceptile,Butterfree Mega Sceptile ex,22,8,1,1,31,72.6,15.7,56.9,88.3,13,5,1,1,19,71.1,20.4,32,71.9
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,vespiquen,Vespiquen ex Shuckle ex,22,10,1,1,33,68.2,15.9,52.3,84.1,14,5,1,1,20,72.5,19.6,34,67.6
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,suicune,Suicune ex Baxcalibur,2,15,1,0,18,13.9,16.0,0.0,29.9,2,9,1,0,12,20.8,23.0,18,13.9
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,hydreigon,Hydreigon Mega Absol ex,9,8,2,0,19,52.6,22.5,30.2,75.1,5,3,1,0,9,61.1,31.8,19,52.6
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,weezing,Team Rocket's Weezing ex Hoopa ex,7,4,2,0,13,61.5,26.4,35.1,88.0,6,3,1,0,10,65.0,29.6,13,61.5
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,blaziken,Mega Blaziken ex,5,12,0,0,17,29.4,21.7,7.8,51.1,2,9,0,0,11,18.2,22.8,17,29.4
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,panel_equal_weight,8 of 8 opponents with n>0,113,101,12,4,226,50.1,,,,69,57,8,4,134,,,230,
holdout,charizardy_entei,Mega Charizard Y ex Entei ex,panel_pooled,all panel matches pooled (match-weighted),113,101,12,4,226,52.7,6.5,46.1,59.2,69,57,8,4,134,54.5,8.4,230,52.6
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,lucario,Mega Lucario ex Lucario,35,55,3,5,93,39.2,9.9,29.3,49.2,22,30,1,4,53,42.5,13.3,98,39.8
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,altaria,Mega Altaria ex Espeon,55,48,7,6,110,53.2,9.3,43.9,62.5,28,29,3,5,60,49.2,12.6,116,53.0
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,sceptile,Butterfree Mega Sceptile ex,29,45,3,2,77,39.6,10.9,28.7,50.5,13,30,2,2,45,31.1,13.5,79,39.9
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,vespiquen,Vespiquen ex Shuckle ex,35,32,2,0,69,52.2,11.8,40.4,64.0,19,18,1,0,38,51.3,15.9,69,52.2
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,suicune,Suicune ex Baxcalibur,27,14,6,0,47,63.8,13.7,50.1,77.6,15,9,2,0,26,61.5,18.7,47,63.8
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,hydreigon,Hydreigon Mega Absol ex,24,27,0,2,51,47.1,13.7,33.4,60.8,15,16,0,2,31,48.4,17.6,53,47.2
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,weezing,Team Rocket's Weezing ex Hoopa ex,7,13,0,1,20,35.0,20.9,14.1,55.9,5,12,0,1,17,29.4,21.7,21,35.7
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,blaziken,Mega Blaziken ex,22,12,3,0,37,63.5,15.5,48.0,79.0,14,7,2,0,23,65.2,19.5,37,63.5
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,panel_equal_weight,8 of 8 opponents with n>0,234,246,24,16,504,49.2,,,,131,151,11,14,293,,,520,
pooled,manectric_heliolisk,Mega Manectric ex Heliolisk,panel_pooled,all panel matches pooled (match-weighted),234,246,24,16,504,48.8,4.4,44.4,53.2,131,151,11,14,293,46.6,5.7,520,48.8
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,lucario,Mega Lucario ex Lucario,22,32,0,1,54,40.7,13.1,27.6,53.8,17,27,0,0,44,38.6,14.4,55,40.9
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,altaria,Mega Altaria ex Espeon,3,29,0,1,32,9.4,10.1,0.0,19.5,1,18,0,1,19,5.3,10.0,33,10.6
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,sceptile,Butterfree Mega Sceptile ex,9,19,1,2,29,32.8,17.1,15.7,49.8,7,19,1,2,27,27.8,16.9,31,33.9
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,vespiquen,Vespiquen ex Shuckle ex,19,21,1,2,41,47.6,15.3,32.3,62.8,11,14,1,2,26,44.2,19.1,43,47.7
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,suicune,Suicune ex Baxcalibur,16,17,1,3,34,48.5,16.8,31.7,65.3,13,9,1,2,23,58.7,20.1,37,48.6
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,hydreigon,Hydreigon Mega Absol ex,9,9,0,2,18,50.0,23.1,26.9,73.1,7,5,0,0,12,58.3,27.9,20,50.0
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,weezing,Team Rocket's Weezing ex Hoopa ex,10,20,1,1,31,33.9,16.7,17.2,50.5,7,16,1,1,24,31.2,18.5,32,34.4
