pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
4	identity	altaria	decks/research/altaria.txt	suicune	decks/screen/opponents/t-suicune.txt	72040000	72040499	72049999	suicune	suicune	b
10	identity	blaziken	decks/research/blaziken.txt	suicune	decks/screen/opponents/t-suicune.txt	72100000	72100499	72109999	suicune	suicune	b
15	identity	hydreigon	decks/research/hydreigon.txt	suicune	decks/screen/opponents/t-suicune.txt	72150000	72150499	72159999	suicune	suicune	b
19	identity	lucario	decks/research/lucario.txt	suicune	decks/screen/opponents/t-suicune.txt	72190000	72190499	72199999	suicune	suicune	b
22	identity	sceptile	decks/research/sceptile.txt	suicune	decks/screen/opponents/t-suicune.txt	72220000	72220499	72229999	suicune	suicune	b
25	identity	suicune	decks/screen/opponents/t-suicune.txt	vespiquen	decks/research/vespiquen.txt	72250000	72250499	72259999	suicune	suicune	a
26	identity	suicune	decks/screen/opponents/t-suicune.txt	weezing	decks/research/weezing.txt	72260000	72260499	72269999	suicune	suicune	a
