pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
40	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	lucario	decks/screen/opponents/t-lucario.txt	21106400000	21106400499	21106409999	charizardy	charizardy_entei	a
41	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	altaria	decks/screen/opponents/t-altaria.txt	21106410000	21106410499	21106419999	charizardy	charizardy_entei	a
42	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106420000	21106420499	21106429999	charizardy	charizardy_entei	a
43	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106430000	21106430499	21106439999	charizardy	charizardy_entei	a
44	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	suicune	decks/screen/opponents/t-suicune.txt	21106440000	21106440499	21106449999	charizardy	charizardy_entei	a
45	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106450000	21106450499	21106459999	charizardy	charizardy_entei	a
46	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	weezing	decks/screen/opponents/t-weezing.txt	21106460000	21106460499	21106469999	charizardy	charizardy_entei	a
47	A_archetype	charizardy_entei	rl/results/b2e_card_check_2026-09-26/decks/h-charizardy_entei.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106470000	21106470499	21106479999	charizardy	charizardy_entei	a
