pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
2	variation	altaria	decks/research/altaria.txt	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	72020000	72020499	72029999	lucario	v-lucario_swap2	b
8	variation	blaziken	decks/research/blaziken.txt	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	72080000	72080499	72089999	lucario	v-lucario_swap2	b
13	variation	hydreigon	decks/research/hydreigon.txt	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	72130000	72130499	72139999	lucario	v-lucario_swap2	b
18	variation	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	sceptile	decks/research/sceptile.txt	72180000	72180499	72189999	lucario	v-lucario_swap2	a
19	variation	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	suicune	decks/research/suicune.txt	72190000	72190499	72199999	lucario	v-lucario_swap2	a
20	variation	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	vespiquen	decks/research/vespiquen.txt	72200000	72200499	72209999	lucario	v-lucario_swap2	a
21	variation	v-lucario_swap2	decks/gauntlet_2026-09-26/v-lucario_swap2.txt	weezing	decks/research/weezing.txt	72210000	72210499	72219999	lucario	v-lucario_swap2	a
