pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
6	variation	altaria	decks/research/altaria.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72060000	72060499	72069999	weezing	v-weezing_swap2	b
12	variation	blaziken	decks/research/blaziken.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72120000	72120499	72129999	weezing	v-weezing_swap2	b
17	variation	hydreigon	decks/research/hydreigon.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72170000	72170499	72179999	weezing	v-weezing_swap2	b
21	variation	lucario	decks/research/lucario.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72210000	72210499	72219999	weezing	v-weezing_swap2	b
24	variation	sceptile	decks/research/sceptile.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72240000	72240499	72249999	weezing	v-weezing_swap2	b
26	variation	suicune	decks/research/suicune.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72260000	72260499	72269999	weezing	v-weezing_swap2	b
27	variation	vespiquen	decks/research/vespiquen.txt	v-weezing_swap2	decks/gauntlet_2026-09-26/v-weezing_swap2.txt	72270000	72270499	72279999	weezing	v-weezing_swap2	b
