pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
6	identity	altaria	decks/research/altaria.txt	weezing	decks/screen/opponents/t-weezing.txt	72060000	72060499	72069999	weezing	weezing	b
12	identity	blaziken	decks/research/blaziken.txt	weezing	decks/screen/opponents/t-weezing.txt	72120000	72120499	72129999	weezing	weezing	b
17	identity	hydreigon	decks/research/hydreigon.txt	weezing	decks/screen/opponents/t-weezing.txt	72170000	72170499	72179999	weezing	weezing	b
21	identity	lucario	decks/research/lucario.txt	weezing	decks/screen/opponents/t-weezing.txt	72210000	72210499	72219999	weezing	weezing	b
24	identity	sceptile	decks/research/sceptile.txt	weezing	decks/screen/opponents/t-weezing.txt	72240000	72240499	72249999	weezing	weezing	b
26	identity	suicune	decks/research/suicune.txt	weezing	decks/screen/opponents/t-weezing.txt	72260000	72260499	72269999	weezing	weezing	b
27	identity	vespiquen	decks/research/vespiquen.txt	weezing	decks/screen/opponents/t-weezing.txt	72270000	72270499	72279999	weezing	weezing	b
