pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end	deck	version	variant_side
2	identity	altaria	decks/research/altaria.txt	lucario	decks/screen/opponents/t-lucario.txt	72020000	72020499	72029999	lucario	lucario	b
8	identity	blaziken	decks/research/blaziken.txt	lucario	decks/screen/opponents/t-lucario.txt	72080000	72080499	72089999	lucario	lucario	b
13	identity	hydreigon	decks/research/hydreigon.txt	lucario	decks/screen/opponents/t-lucario.txt	72130000	72130499	72139999	lucario	lucario	b
18	identity	lucario	decks/screen/opponents/t-lucario.txt	sceptile	decks/research/sceptile.txt	72180000	72180499	72189999	lucario	lucario	a
19	identity	lucario	decks/screen/opponents/t-lucario.txt	suicune	decks/research/suicune.txt	72190000	72190499	72199999	lucario	lucario	a
20	identity	lucario	decks/screen/opponents/t-lucario.txt	vespiquen	decks/research/vespiquen.txt	72200000	72200499	72209999	lucario	lucario	a
21	identity	lucario	decks/screen/opponents/t-lucario.txt	weezing	decks/research/weezing.txt	72210000	72210499	72219999	lucario	lucario	a
