archetype,rank_sept10,rank_window,dustin,player,display_name,event_id,event_name,event_size,date,placing,drop,record,deck_id,cards_carried,url
Mega Lucario ex Lucario,1,1,False,kayoby,kayoby,6aa0471eab080c8c957fe27d,The PokeBounty Showdown $1000 Prize Pool (#2NA),142,2026-09-14,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa0471eab080c8c957fe27d/player/kayoby/decklist
Mega Lucario ex Lucario,1,1,False,aldous,Aldous,6a901ac60580a332c8420eaa,‼️$20 BEC'S 📛NEW SET PARTY - FA PRIZES🔻,133,2026-08-28,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a901ac60580a332c8420eaa/player/aldous/decklist
Mega Lucario ex Lucario,1,1,False,quackquack,quackquack,6a901ac60580a332c8420eaa,‼️$20 BEC'S 📛NEW SET PARTY - FA PRIZES🔻,133,2026-08-28,,4,2-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a901ac60580a332c8420eaa/player/quackquack/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a901ac60580a332c8420eaa,‼️$20 BEC'S 📛NEW SET PARTY - FA PRIZES🔻,133,2026-08-28,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a901ac60580a332c8420eaa/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,ppitopin8,ppitopin8,6a9829c8a4272c53be644d74,The PokeBounty Showdown $1000 Prize Pool (#1),132,2026-09-07,,2,1-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9829c8a4272c53be644d74/player/ppitopin8/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a9829c8a4272c53be644d74,The PokeBounty Showdown $1000 Prize Pool (#1),132,2026-09-07,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9829c8a4272c53be644d74/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,dyja1,Diky J,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,7,2-5-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/dyja1/decklist
Mega Lucario ex Lucario,1,1,False,guunnz,𝗠𝗢𝗡⭐️ | guunnz,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,6,2-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/guunnz/decklist
Mega Lucario ex Lucario,1,1,False,johtopack,CIRC | Elegant,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,7,0-7-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/johtopack/decklist
Mega Lucario ex Lucario,1,1,False,justclark,justclark,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/justclark/decklist
Mega Lucario ex Lucario,1,1,False,lanora,𝗠𝗲𝗴𝗮 LaNora 𝗘𝗫,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/lanora/decklist
Mega Lucario ex Lucario,1,1,False,nunogdm,NunoGDM,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/nunogdm/decklist
Mega Lucario ex Lucario,1,1,False,ppitopin8,ppitopin8,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/ppitopin8/decklist
Mega Lucario ex Lucario,1,1,False,rayblu,DNT | Raybu,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,4,2-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/rayblu/decklist
Mega Lucario ex Lucario,1,1,False,spritzol,Spritzol,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/spritzol/decklist
Mega Lucario ex Lucario,1,1,False,aldous,Aldous,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/aldous/decklist
Mega Lucario ex Lucario,1,1,False,frozen,𝐄𝐥𝐢𝐭𝐞𝟒 Frozen,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,,1,0-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/frozen/decklist
Mega Lucario ex Lucario,1,1,False,liamkrew,Liamkrew,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/liamkrew/decklist
Mega Lucario ex Lucario,1,1,False,supreme13,𝗕𝗮𝗹𝗱 Supreme,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/supreme13/decklist
Mega Lucario ex Lucario,1,1,False,tommykamikace,TommyKamikace,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/tommykamikace/decklist
Mega Lucario ex Lucario,1,1,False,acad,Acad,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/acad/decklist
Mega Lucario ex Lucario,1,1,False,almezda,Almezda,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12,,7,2-4-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/almezda/decklist
Mega Lucario ex Lucario,1,1,False,thomasxavier21,ThomasXavier21,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/thomasxavier21/decklist
Mega Lucario ex Lucario,1,1,False,tk37z,TK37Z,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12,,6,1-5-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/tk37z/decklist
Mega Lucario ex Lucario,1,1,False,dyja1,Diky Jayakusuma,6a78c5912b308b6067b4f421,Tournament Vegegras cash prize 100usd,116,2026-09-05,,7,0-7-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a78c5912b308b6067b4f421/player/dyja1/decklist
Mega Lucario ex Lucario,1,1,False,rayblu,Rayblu,6a78c5912b308b6067b4f421,Tournament Vegegras cash prize 100usd,116,2026-09-05,,2,1-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a78c5912b308b6067b4f421/player/rayblu/decklist
Mega Lucario ex Lucario,1,1,False,esteban0708,Esteban0708,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,,1,0-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/esteban0708/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,liamkrew,Liamkrew,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/liamkrew/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,ppitopin8,ppitopin8,6aac7e78f127b1b52c27ba59,$40 USD+FA | 巫獅對戰塔盃 LeoWizard BattleTower Cup #12,112,2026-09-19,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aac7e78f127b1b52c27ba59/player/ppitopin8/decklist
Mega Lucario ex Lucario,1,1,False,wongtw,SBS| wongtw,6aac7e78f127b1b52c27ba59,$40 USD+FA | 巫獅對戰塔盃 LeoWizard BattleTower Cup #12,112,2026-09-19,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aac7e78f127b1b52c27ba59/player/wongtw/decklist
Mega Lucario ex Lucario,1,1,False,elatomico,PGX| El Atomico,6a94b2ffabb9482237504367,♨️Sauna X Almond POG Tournament #24|10USD + FA!,110,2026-09-02,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a94b2ffabb9482237504367/player/elatomico/decklist
Mega Lucario ex Lucario,1,1,False,mambadaddy9,𝐃𝐍𝐓 | MambaD.9,6a94b2ffabb9482237504367,♨️Sauna X Almond POG Tournament #24|10USD + FA!,110,2026-09-02,,4,3-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a94b2ffabb9482237504367/player/mambadaddy9/decklist
Mega Lucario ex Lucario,1,1,False,axelniraj,Void ,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30,,4,2-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/axelniraj/decklist
Mega Lucario ex Lucario,1,1,False,brendon68,𝙄𝙈𝙋 | Brendon .,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/brendon68/decklist
Mega Lucario ex Lucario,1,1,False,godi,Godi,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/godi/decklist
Mega Lucario ex Lucario,1,1,False,grotolo,𝐃𝐍𝐓 | Grotolo,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/grotolo/decklist
Mega Lucario ex Lucario,1,1,False,avelino_off,AVELINO_OFF,6a7e2db92b308b6067b531d2,Umbreon99's Aura Sphere #5: $5 USD + OAK,89,2026-09-18,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a7e2db92b308b6067b531d2/player/avelino_off/decklist
Mega Lucario ex Lucario,1,1,False,iono_ce,Iono_Ce,6a7e2db92b308b6067b531d2,Umbreon99's Aura Sphere #5: $5 USD + OAK,89,2026-09-18,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a7e2db92b308b6067b531d2/player/iono_ce/decklist
Mega Lucario ex Lucario,1,1,False,sky_skywolf93,SKY_SkyWolf93,6a7e2db92b308b6067b531d2,Umbreon99's Aura Sphere #5: $5 USD + OAK,89,2026-09-18,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a7e2db92b308b6067b531d2/player/sky_skywolf93/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6aa682e4f1243e65f97ffebe,The PokeBounty Showdown Sunday Pop Up,83,2026-09-13,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa682e4f1243e65f97ffebe/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,avelino_off,AVELINO_OFF,6aa7cd2ff1243e65f9800e0f,TBC KELP CLASSIC 10th ANNIVERSARY- $10 + FA CYRUS,78,2026-09-15,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa7cd2ff1243e65f9800e0f/player/avelino_off/decklist
Mega Lucario ex Lucario,1,1,False,aldous,Aldous,6a985d35ab080c8c957f7fac,The Dark League Tournament | POP UP,77,2026-09-02,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a985d35ab080c8c957f7fac/player/aldous/decklist
Mega Lucario ex Lucario,1,1,False,andregoat,𝐃𝐍𝐓 | Andre,6a985d35ab080c8c957f7fac,The Dark League Tournament | POP UP,77,2026-09-02,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a985d35ab080c8c957f7fac/player/andregoat/decklist
Mega Lucario ex Lucario,1,1,False,cadu_f,𝗖𝗔𝗢𝗦 | Centaurus,6a985d35ab080c8c957f7fac,The Dark League Tournament | POP UP,77,2026-09-02,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a985d35ab080c8c957f7fac/player/cadu_f/decklist
Mega Lucario ex Lucario,1,1,False,radarada,RadaRada,6a985d35ab080c8c957f7fac,The Dark League Tournament | POP UP,77,2026-09-02,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a985d35ab080c8c957f7fac/player/radarada/decklist
Mega Lucario ex Lucario,1,1,False,eeveeon,eeveeon,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/eeveeon/decklist
Mega Lucario ex Lucario,1,1,False,esteban0708,Esteban0708,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/esteban0708/decklist
Mega Lucario ex Lucario,1,1,False,iono_ce,Iono_Ce,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11,,5,1-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/iono_ce/decklist
Mega Lucario ex Lucario,1,1,False,pikamon,Pikamon,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/pikamon/decklist
Mega Lucario ex Lucario,1,1,False,r0zey,r0zey,6ab3aa2de905c1db68748664,TH Event's Presents: When DX Pack?!|5$ + FA's!,68,2026-09-23,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6ab3aa2de905c1db68748664/player/r0zey/decklist
Mega Lucario ex Lucario,1,1,False,sparadrap,Sparadrap,6ab3aa2de905c1db68748664,TH Event's Presents: When DX Pack?!|5$ + FA's!,68,2026-09-23,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6ab3aa2de905c1db68748664/player/sparadrap/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10,,6,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,r0zey,r0zey,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10,,3,0-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/r0zey/decklist
Mega Lucario ex Lucario,1,1,False,manatee,Manatee,6a8b7ef58302ae761e5fac0a,♨️Sauna's POG Tournament #23 |SLEEP BAN| 5USD + FA,60,2026-08-28,,4,1-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8b7ef58302ae761e5fac0a/player/manatee/decklist
Mega Lucario ex Lucario,1,1,False,aluchitcg,AluchiTCG,6aa13feaa4272c53be64b94a,DR KELP’S CHUM BUCKET POP UP,49,2026-09-09,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa13feaa4272c53be64b94a/player/aluchitcg/decklist
Mega Lucario ex Lucario,1,1,False,russ_ii,TBC || Russ,6aa13feaa4272c53be64b94a,DR KELP’S CHUM BUCKET POP UP,49,2026-09-09,,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa13feaa4272c53be64b94a/player/russ_ii/decklist
Mega Lucario ex Lucario,1,1,False,vitorinsky,Vitorinsky,6aa6942138886b36383be9a3,DR KELP’S CHUM BUCKET POP UP - FA COPYCAT,38,2026-09-13,,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa6942138886b36383be9a3/player/vitorinsky/decklist
Mega Lucario ex Lucario,1,1,False,pedropato,𝗨𝗡𝗟 | Pedro Paulo,6a9ed1b3ab080c8c957fcda5,🇧🇷 Hit Sparrow #11 | TCG Pocket,22,2026-09-09,,3,1-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9ed1b3ab080c8c957fcda5/player/pedropato/decklist
Butterfree Mega Sceptile ex,3,3,False,fitypaldis,Fitypaldis,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12,10,,7-3-0,butterfree-b3b-mega-sceptile-ex-b3,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/fitypaldis/decklist
Butterfree Mega Sceptile ex,3,3,False,khaeruibnum,khaeruibnum,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18,65,,0-1-0,butterfree-b3b-mega-sceptile-ex-b3,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/khaeruibnum/decklist
Butterfree Mega Sceptile ex,3,3,False,azin,Azin,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10,,4,1-3-0,butterfree-b3b-mega-sceptile-ex-b3,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/azin/decklist
Vespiquen ex Shuckle ex,4,4,False,xanypopper,²ᵀ|Xanny ,6ab04f7fe905c1db6874671c,Xasturpice Theater 🎭 #1 | 🏆 Full Art Oak,22,2026-09-21,5,,4-1-2,vespiquen-ex-b4-shuckle-ex-a4,Blue x1,https://play.limitlesstcg.com/tournament/6ab04f7fe905c1db6874671c/player/xanypopper/decklist
Vespiquen ex Shuckle ex,4,4,False,xastur,Xastur,6ab04f7fe905c1db6874671c,Xasturpice Theater 🎭 #1 | 🏆 Full Art Oak,22,2026-09-21,8,,4-3-0,vespiquen-ex-b4-shuckle-ex-a4,Blue x1,https://play.limitlesstcg.com/tournament/6ab04f7fe905c1db6874671c/player/xastur/decklist
Vespiquen ex Shuckle ex,4,4,False,2sick,²ᵀ| ²ꜱɪᴄᴋ,6ab04f7fe905c1db6874671c,Xasturpice Theater 🎭 #1 | 🏆 Full Art Oak,22,2026-09-21,11,,3-3-0,vespiquen-ex-b4-shuckle-ex-a4,Blue x1,https://play.limitlesstcg.com/tournament/6ab04f7fe905c1db6874671c/player/2sick/decklist
Vespiquen ex Shuckle ex,4,4,False,2sick,²ᵀ| ²ꜱɪᴄᴋ,6aabc067f1243e65f98035ec,The TCGP Arena #6! Prizing: 🌟🌟 Cards,53,2026-09-21,,4,1-3-0,vespiquen-ex-b4-shuckle-ex-a4,Blue x1,https://play.limitlesstcg.com/tournament/6aabc067f1243e65f98035ec/player/2sick/decklist
Suicune ex Baxcalibur,5,5,False,danico,Danico,6aa22425a4272c53be64ca36,The Breakfast Club Daily #5-$5 + FA,112,2026-09-10,11,,6-3-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x2,https://play.limitlesstcg.com/tournament/6aa22425a4272c53be64ca36/player/danico/decklist
Suicune ex Baxcalibur,5,5,False,bigdev,BigDev,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29,14,,8-3-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/bigdev/decklist
Suicune ex Baxcalibur,5,5,False,nj_210zz,Nj_210zz,6a90e8157a62de8130140dee,The Breakfast Club Xastur's Showdown-$5+OAK+,97,2026-08-28,20,,5-2-1,suicune-ex-a4a-baxcalibur-b2a,Frigibax x2,https://play.limitlesstcg.com/tournament/6a90e8157a62de8130140dee/player/nj_210zz/decklist
Suicune ex Baxcalibur,5,5,False,nyrq,nyrq the rookie,6ab3aa2de905c1db68748664,TH Event's Presents: When DX Pack?!|5$ + FA's!,68,2026-09-23,23,,3-3-1,suicune-ex-a4a-baxcalibur-b2a,Frigibax x2,https://play.limitlesstcg.com/tournament/6ab3aa2de905c1db68748664/player/nyrq/decklist
Suicune ex Baxcalibur,5,5,False,koehearts,𝗕𝗢𝗔𝗧 | Koe,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,25,,3-2-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/koehearts/decklist
Suicune ex Baxcalibur,5,5,False,cosmooo,FrogEX | Cosmo,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03,28,4,2-2-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/cosmooo/decklist
Suicune ex Baxcalibur,5,5,False,joset305,JoseT305,6a947113629039f77d8a5c46,Dark League Pop Up,57,2026-08-30,28,,1-5-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a947113629039f77d8a5c46/player/joset305/decklist
Suicune ex Baxcalibur,5,5,False,leviedelman,SHARPSH00TER85 ,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,30,4,2-2-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/leviedelman/decklist
Suicune ex Baxcalibur,5,5,False,gigagoat,GigaGoat,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03,43,4,1-3-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/gigagoat/decklist
Suicune ex Baxcalibur,5,5,False,diegolq,diegolq,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,53,,2-4-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/diegolq/decklist
Suicune ex Baxcalibur,5,5,False,knowticetko,𝗠𝗢𝗡⭐️ | KnowticeTkO,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,55,2,0-2-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/knowticetko/decklist
Suicune ex Baxcalibur,5,5,False,diegolq,diegolq,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29,57,,6-3-0,suicune-ex-a4a-baxcalibur-b2a,Frigibax x1,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/diegolq/decklist
