archetype,deck_id,player,player_name,event_id,event_name,event_size,date,placing,record,cards_carried,carries_switch1_card,same_name_other_printing,n_cards_in_list,url
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,fitypaldis,Fitypaldis,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12T20:30:00.000Z,10,7-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/fitypaldis/decklist
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,khaeruibnum,khaeruibnum,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18T13:00:00.000Z,65,0-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/khaeruibnum/decklist
Butterfree Mega Sceptile ex,butterfree-b3b-mega-sceptile-ex-b3,azin,Azin,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10T03:20:00.000Z,,1-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/azin/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,twidleurstixx,TwidleUrStixx,6aaad41638886b36383c1ad5,Pop Up Series 9 || FA OAK,27,2026-09-17T03:00:00.000Z,1,7-0-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aaad41638886b36383c1ad5/player/twidleurstixx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,golfermt,golfermt,6a8b75058302ae761e5fab7e,FAREWELL B4!|2x Hoopa ex RR Prize+More!|TH Series,81,2026-08-26T16:15:00.000Z,2,8-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8b75058302ae761e5fab7e/player/golfermt/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a98fd1ba4272c53be6457c3,TBC The Rowdy Russell Rumble-$20-QUICK,53,2026-09-03T05:15:00.000Z,2,6-2-2,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a98fd1ba4272c53be6457c3/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,golfermt,golfermt,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02T17:00:00.000Z,4,7-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/golfermt/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,rfine,Rfine,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11T03:10:00.000Z,5,5-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/rfine/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,acad,Acad,6a9b22fba4272c53be646f96,OTS Pokemon TCG Pocket Arena Pop Up,14,2026-09-04T22:00:00.000Z,5,2-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9b22fba4272c53be646f96/player/acad/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,aguxjuega99,Aguxjuega99,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03T20:45:00.000Z,6,6-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/aguxjuega99/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,tendoreezy,tendoreezy,6aa682e4f1243e65f97ffebe,The PokeBounty Showdown Sunday Pop Up,83,2026-09-13T16:30:00.000Z,8,5-3-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa682e4f1243e65f97ffebe/player/tendoreezy/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,pikatravai,Pikatravai,6a8f27e57a62de813013fb20,The Breakfast Club Pop Up-$5+FA,69,2026-08-26T21:00:00.000Z,9,5-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8f27e57a62de813013fb20/player/pikatravai/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,petapetachu,petapetachu,6aa6410b38886b36383be710,🏰FORT TOURNAMENTS POCKET DEBUT🏰 $20 + FA CARDS,114,2026-09-14T10:30:00.000Z,12,6-2-0,Protective Poncho x2 [B2 147]; Rocky Helmet x1 [A2 148],False,,20,https://play.limitlesstcg.com/tournament/6aa6410b38886b36383be710/player/petapetachu/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,feherlac,Feherlac,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01T14:15:00.000Z,13,5-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/feherlac/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,mirandolla,𝗦𝗗𝗘 | Jhon Lenon,6aa5a7da38886b36383bdfcd,🇧🇷 Hit Sparrow #12 | TCG Pocket,17,2026-09-16T22:00:00.000Z,13,0-3-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa5a7da38886b36383bdfcd/player/mirandolla/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,ratatouillet27,𝐓𝐌 I OldCaT .,6a8ea2690580a332c8420304,Rozey Birthday Pop Up By Dark league,29,2026-08-26T10:35:00.000Z,16,2-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8ea2690580a332c8420304/player/ratatouillet27/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,bigslowpokefan,BigSlowpokeFan,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,17,8-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/bigslowpokefan/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hidalgo1,hidalgo1,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10T03:20:00.000Z,17,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/hidalgo1/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01T17:00:00.000Z,18,5-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,xctloya26,PTSD | Xctloya26,6aa89ad438886b36383c071a,✧･❀🌸Flutter Festival Debut! -15$🌸❀･✧,80,2026-09-16T23:30:00.000Z,18,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa89ad438886b36383c071a/player/xctloya26/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,bborsx,Bborsx,6aa13feaa4272c53be64b94a,DR KELP’S CHUM BUCKET POP UP,49,2026-09-09T14:00:00.000Z,18,3-2-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa13feaa4272c53be64b94a/player/bborsx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,foulzzx,foulzzx,6a9d55b3ab080c8c957fbaa6,OTS Pokemon TCG Pocket Arena Pop Up | $5 USD,65,2026-09-06T18:00:00.000Z,19,3-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9d55b3ab080c8c957fbaa6/player/foulzzx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,kingscom,Kingscom,6a8ea2690580a332c8420304,Rozey Birthday Pop Up By Dark league,29,2026-08-26T10:35:00.000Z,21,1-4-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8ea2690580a332c8420304/player/kingscom/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,isez,isez,6a94b2ffabb9482237504367,♨️Sauna X Almond POG Tournament #24|10USD + FA!,110,2026-09-02T08:30:00.000Z,22,4-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a94b2ffabb9482237504367/player/isez/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,shmo,shmo,6aa0471eab080c8c957fe27d,The PokeBounty Showdown $1000 Prize Pool (#2NA),142,2026-09-14T23:00:00.000Z,23,4-2-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa0471eab080c8c957fe27d/player/shmo/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,noobslybot_01,PLASMA| Moira,6a789b5ccdc0391d7fa61ba9,The Dark League | CELEBRATORY FANFARE 685$ Value,120,2026-09-05T20:05:00.000Z,24,4-3-1,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a789b5ccdc0391d7fa61ba9/player/noobslybot_01/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,portlandpoliwags,PortlandPoliwags,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30T09:00:00.000Z,24,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/portlandpoliwags/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a78c5912b308b6067b4f421,Tournament Vegegras cash prize 100usd,116,2026-09-05T19:05:00.000Z,25,6-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a78c5912b308b6067b4f421/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,bborsx,Bborsx,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02T17:00:00.000Z,26,4-3-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/bborsx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,tendoreezy,tendoreezy,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11T03:10:00.000Z,28,3-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/tendoreezy/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,tendoreezy,tendoreezy,6aa0471eab080c8c957fe27d,The PokeBounty Showdown $1000 Prize Pool (#2NA),142,2026-09-14T23:00:00.000Z,30,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa0471eab080c8c957fe27d/player/tendoreezy/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,isanpum,𝐅𝐈𝐑𝐄 | isanpum,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18T13:00:00.000Z,33,1-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/isanpum/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,chicco96,chicco96,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03T20:45:00.000Z,35,2-4-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/chicco96/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hanzee,Hanzee,6a7e2db92b308b6067b531d2,Umbreon99's Aura Sphere #5: $5 USD + OAK,89,2026-09-18T17:35:00.000Z,38,1-5-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a7e2db92b308b6067b531d2/player/hanzee/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,meymuus,Meymuus,6aa17ddeab080c8c957ff0fe,Dark League Pocket Tournament | 20$USD Prize Pool,118,2026-09-12T20:30:00.000Z,43,3-4-0,Protective Poncho x1 [B2 147]; Rocky Helmet x1 [A2 148],False,,20,https://play.limitlesstcg.com/tournament/6aa17ddeab080c8c957ff0fe/player/meymuus/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,aquamarinee,AquamarineE,6aa682e4f1243e65f97ffebe,The PokeBounty Showdown Sunday Pop Up,83,2026-09-13T16:30:00.000Z,43,2-4-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa682e4f1243e65f97ffebe/player/aquamarinee/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,acad,Acad,6aa7cd2ff1243e65f9800e0f,TBC KELP CLASSIC 10th ANNIVERSARY- $10 + FA CYRUS,78,2026-09-15T23:15:00.000Z,45,1-6-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa7cd2ff1243e65f9800e0f/player/acad/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,iduh,𝗠𝗲𝗴𝗮 Iduh 𝗘𝗫,6a901ac60580a332c8420eaa,‼️$20 BEC'S 📛NEW SET PARTY - FA PRIZES🔻,133,2026-08-28T13:10:00.000Z,51,1-5-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a901ac60580a332c8420eaa/player/iduh/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,kabesu,KABESU,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,62,6-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/kabesu/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,acad,Acad,6aa0471eab080c8c957fe27d,The PokeBounty Showdown $1000 Prize Pool (#2NA),142,2026-09-14T23:00:00.000Z,62,3-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa0471eab080c8c957fe27d/player/acad/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,tendoreezy,tendoreezy,6a9829c8a4272c53be644d74,The PokeBounty Showdown $1000 Prize Pool (#1),132,2026-09-07T23:00:00.000Z,64,2-4-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9829c8a4272c53be644d74/player/tendoreezy/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,jefe_tribal10,Jefe_tribal10,6aa22425a4272c53be64ca36,The Breakfast Club Daily #5-$5 + FA,112,2026-09-10T20:20:00.000Z,64,2-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa22425a4272c53be64ca36/player/jefe_tribal10/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,rome90,Rome90,6aa6410b38886b36383be710,🏰FORT TOURNAMENTS POCKET DEBUT🏰 $20 + FA CARDS,114,2026-09-14T10:30:00.000Z,75,1-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa6410b38886b36383be710/player/rome90/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,thefossilman,TheFossilMan,6aa22425a4272c53be64ca36,The Breakfast Club Daily #5-$5 + FA,112,2026-09-10T20:20:00.000Z,76,1-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa22425a4272c53be64ca36/player/thefossilman/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,gigagoat,GigaGoat,6a90e8157a62de8130140dee,The Breakfast Club Xastur's Showdown-$5+OAK+,97,2026-08-28T22:30:00.000Z,76,1-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a90e8157a62de8130140dee/player/gigagoat/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,antimetazoo_wiki,AntiMetaZoo_Wiki,6a9dc423ab080c8c957fc250,The Breakfast Club Nightly-$20,118,2026-09-07T00:45:00.000Z,94,1-6-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9dc423ab080c8c957fc250/player/antimetazoo_wiki/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,jupitrar,Jupitrar,6a90e8157a62de8130140dee,The Breakfast Club Xastur's Showdown-$5+OAK+,97,2026-08-28T22:30:00.000Z,94,0-1-0,Rocky Helmet x2 [A2 148],False,,20,https://play.limitlesstcg.com/tournament/6a90e8157a62de8130140dee/player/jupitrar/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,dragby,Dragby,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,109,4-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/dragby/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,hate_hardpeach,Hate_HardPeach,6a9dc423ab080c8c957fc250,The Breakfast Club Nightly-$20,118,2026-09-07T00:45:00.000Z,112,0-7-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9dc423ab080c8c957fc250/player/hate_hardpeach/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,ashoka,Ashoka,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,132,3-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/ashoka/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,mrmal15,MrMal15,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,160,2-4-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/mrmal15/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,travisty,Travisty,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29T16:00:00.000Z,234,1-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/travisty/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,bborsx,Bborsx,6a7e2b83cdc0391d7fa65afb,Umbreon99's Aura Sphere #4: $15 USD + Oak,219,2026-09-11T17:45:00.000Z,,0-2-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a7e2b83cdc0391d7fa65afb/player/bborsx/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,redmaicon,𝗧𝗠𝗔 _MAICONRED,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01T17:00:00.000Z,,0-2-0,Protective Poncho x2 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/redmaicon/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,mrmal15,MrMal15,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30T09:00:00.000Z,,2-3-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/mrmal15/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,titsygopro,titsygopro,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11T03:10:00.000Z,,2-2-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/titsygopro/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,isanpum,𝐅𝐈𝐑𝐄 | isanpum,6ab3aa2de905c1db68748664,TH Event's Presents: When DX Pack?!|5$ + FA's!,68,2026-09-23T19:00:00.000Z,,0-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6ab3aa2de905c1db68748664/player/isanpum/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,ld,LuDo ,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10T03:20:00.000Z,,4-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/ld/decklist
Dedenne ex Indeedee ex,dedenne-ex-b3b-indeedee-ex-b1,foulzzx,foulzzx,6aa6942138886b36383be9a3,DR KELP’S CHUM BUCKET POP UP - FA COPYCAT,38,2026-09-13T14:00:00.000Z,,0-1-0,Protective Poncho x1 [B2 147],False,,20,https://play.limitlesstcg.com/tournament/6aa6942138886b36383be9a3/player/foulzzx/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,thefossilman,TheFossilMan,6a7e2b83cdc0391d7fa65afb,Umbreon99's Aura Sphere #4: $15 USD + Oak,219,2026-09-11T17:45:00.000Z,1,11-2-1,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6a7e2b83cdc0391d7fa65afb/player/thefossilman/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,minato,minato,6aa6eed0f1243e65f9800555,🩷random r0zey pop up #3 | $25 + FA🩷,146,2026-09-13T22:50:00.000Z,1,11-1-0,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa6eed0f1243e65f9800555/player/minato/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,victorssito,PGX | victorssito,6aa22425a4272c53be64ca36,The Breakfast Club Daily #5-$5 + FA,112,2026-09-10T20:20:00.000Z,2,8-3-1,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa22425a4272c53be64ca36/player/victorssito/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,minato,minato,6aac7e78f127b1b52c27ba59,$40 USD+FA | 巫獅對戰塔盃 LeoWizard BattleTower Cup #12,112,2026-09-19T13:00:00.000Z,2,9-3-0,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aac7e78f127b1b52c27ba59/player/minato/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,megaanyaex,𝗠𝗲𝗴𝗮 Anya 𝗘𝗫,6aa682e4f1243e65f97ffebe,The PokeBounty Showdown Sunday Pop Up,83,2026-09-13T16:30:00.000Z,3,7-2-1,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa682e4f1243e65f97ffebe/player/megaanyaex/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,pauk55,𝗠𝗢𝗡𝗢 . Pauk,6aa2a732a4272c53be64cdf1,DR KELP’S CHUM BUCKET POP UP,37,2026-09-10T14:15:00.000Z,3,6-2-0,Gouging Fire x2 [B3a 054]; Protective Poncho x2 [B2 147],True,,20,https://play.limitlesstcg.com/tournament/6aa2a732a4272c53be64cdf1/player/pauk55/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,niev,Thiago Augusto,6aa5a7da38886b36383bdfcd,🇧🇷 Hit Sparrow #12 | TCG Pocket,17,2026-09-16T22:00:00.000Z,3,3-2-0,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa5a7da38886b36383bdfcd/player/niev/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,draxoz,DraXoZ,6a9b22fba4272c53be646f96,OTS Pokemon TCG Pocket Arena Pop Up,14,2026-09-04T22:00:00.000Z,3,3-2-1,Gouging Fire x2 [B3a 054]; Protective Poncho x1 [B2 147],True,,20,https://play.limitlesstcg.com/tournament/6a9b22fba4272c53be646f96/player/draxoz/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,minato,minato,6aa0471eab080c8c957fe27d,The PokeBounty Showdown $1000 Prize Pool (#2NA),142,2026-09-14T23:00:00.000Z,4,7-1-2,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa0471eab080c8c957fe27d/player/minato/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,harian,Harian,6a7e2b83cdc0391d7fa65afb,Umbreon99's Aura Sphere #4: $15 USD + Oak,219,2026-09-11T17:45:00.000Z,5,8-2-2,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6a7e2b83cdc0391d7fa65afb/player/harian/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,johtopack,CIRC | Elegant,6a989e74a4272c53be6453c4,🔥 TBC × HYPE PACKS: AFTERMADS #1 — $150 🔥,134,2026-09-13T00:45:00.000Z,6,8-2-1,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6a989e74a4272c53be6453c4/player/johtopack/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,isez,isez,6aa89ad438886b36383c071a,✧･❀🌸Flutter Festival Debut! -15$🌸❀･✧,80,2026-09-16T23:30:00.000Z,6,6-2-1,Gouging Fire x2 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6aa89ad438886b36383c071a/player/isez/decklist
Dragonair Mega Rayquaza ex,dragonair-mega-rayquaza-ex-b4,nuggie_d,Nuggie_D,6a98b6dfab080c8c957f8554,Block Dragon Pop Up (RR Vespiquen),48,2026-09-03T02:15:00.000Z,6,5-2-1,Gouging Fire x1 [B3a 054],True,,20,https://play.limitlesstcg.com/tournament/6a98b6dfab080c8c957f8554/player/nuggie_d/decklist
